Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,outlier_features,uuid,algorithm
37201002,706902.0,4600011779.0,10.0,84.0,0,0,F,,203,203.0,Z001,Y6,160.0,338199,2113.74375,1,E11,2100,,5300436875.0,0.0,1,63,060100000,ST,,,d006f22e5dd94c508fa27bf510628caa,"XGBOD, RoSAS"
19600102,2000.0,,0.0,0.0,0,0,E,,999,999.0,Z004,EX,0.0,0,0,1,,3000,3000.0,5300329826.0,0.0,0,999,010201000,ST,,,2f80fd4cb0904013abef03c5d37ba3c4,RoSAS
60056556,701806.0,5500005664.0,10.0,4.0,4,14,F,,708,708.0,Z011,V4,20.0,17,0.85,100,E98,2000,,5300424673.0,0.0,2,14,140100000,ST,,,944ef488008b4984b412f37376d3d3bb,XGBOD
00360930,701806.0,,0.0,0.0,0,0,F,,208,208.0,Z011,V5,3170.0,42343,13.357413249211357,100,E98,2800,,5300368573.0,0.0,2,4,140100000,ST,,,473b1910d91e47fb853f92d9d82a5639,"XGBOD, RoSAS"
00341209,700808.0,4600001115.0,20.0,21.0,0,0,F,30.0,215,215.0,Z001,Z1,0.0,0,0,1,,2100,,5300061424.0,0.0,1,21,080800000,ST,,,c5fe0d6946b94f06a4b40e2ceab63857,RoSAS
23515200UB,700000.0,4600012778.0,10.0,42.0,0,0,F,,223,223.0,Z001,V9,20.0,4602,230.1,1,E19,2100,,5300065405.0,0.0,1,42,010401000,ST,,,dcea94be335a4f23a488e7374bb276b9,XGBOD
00260080,701806.0,5500006791.0,10.0,4.0,4,60,F,,708,708.0,Z011,V5,3550.0,6121,1.724225352112676,100,E98,3000,,5300408855.0,0.0,2,14,140700000,ST,,,d4e754ae619e4d32b1a73a4d6d87336a,"XGBOD, RoSAS"
00110621,700985.0,5500009136.0,10.0,14.0,14,84,F,,203,203.0,Z002,Y9,220.0,18018,81.9,1,E13,3000,,5300116805.0,0.0,1,7,050500000,ST,,,de30c1127200488ca6b5c8c5615ea656,"XGBOD, RoSAS"
00371228,700020.0,5500002579.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,39760.0,27461,0.6906690140845071,100,E20,2000,,5300158009.0,0.0,1,4,140300000,ST,,,8486391f4c9f4d94af744676f7ad216c,XGBOD
00311406UB,701306.0,4600007488.0,20.0,42.0,0,0,F,,202,202.0,Z001,Y3,0.0,0,0,1,E13,2100,,5300151172.0,0.0,1,182,030202000,ST,,,4d0693130edc4668bad7e546e07af3b8,"XGBOD, RoSAS"
31010114UB,2100.0,,0.0,0.0,0,0,F,41.0,203,203.0,Z003,Y9,10.0,1661,166.1,1,E13,2000,2000.0,5300384468.0,0.0,2,3,030201000,ST,,,6e3f8b9e1bee4d2e82a50c60fd798dd6,XGBOD
23692820,2100.0,,0.0,0.0,0,0,F,41.0,231,231.0,Z011,Z9,0.0,0,0,1,,2000,3000.0,5300197975.0,0.0,1,3,100100000,ST,,,25cb3f562b1c495fa282f731016be999,RoSAS
60070492,700230.0,,0.0,0.0,0,0,F,41.0,219,219.0,Z001,Z1,20.0,22213,1110.65,1,,2000,,5300459127.0,3.0,1,2,100202000,ST,,,46ca75c1332b43a29cc13e5a498c6152,"XGBOD, RoSAS"
00370685,700020.0,5500001770.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,870.0,697,0.8011494252873563,100,E20,2000,,5300080053.0,0.0,1,4,140100000,ST,,,6bcc3a7da6324d74800a5afbdd8d6c84,XGBOD
33438200,702225.0,,0.0,0.0,0,0,F,30.0,213,213.0,Z004,TB,10.0,259005,25900.5,1,,2000,,5300157004.0,0.0,1,63,550100000,ST,,,54e9ccfd68734aa6ab5639d9c4287e66,XGBOD
00100390,706611.0,5500008989.0,10.0,14.0,14,90,F,,708,708.0,Z011,Y6,170.0,6536,38.44705882352941,1,E14,2100,,5300092084.0,0.0,1,42,070300000,ST,,,1d3c503966be4873aa98ad8699653f0d,XGBOD
00180123,2100.0,,0.0,0.0,0,0,F,41.0,215,215.0,Z001,Y9,0.0,0,0,100,E13,2800,2700.0,5300169826.0,0.0,1,28,100300000,M,,,eea1a0d3ba304667bfab0574dbd580d0,XGBOD
00380884,700612.0,4600008325.0,10.0,21.0,0,0,F,,206,206.0,Z002,Z7,3970.0,19477,4.906045340050378,1,,2000,,5300007849.0,0.0,1,21,120000000,ST,,,2e4fd6b9572845e8b2a52a3f99cd8e60,"XGBOD, RoSAS"
34732900,715408.0,4600012134.0,20.0,56.0,0,0,F,40.0,223,223.0,Z004,TB,0.0,0,0,1,,3000,,5300436334.0,3.0,1,56,010403000,ST,,,ec4adbd283544db4b1eece180818173b,"XGBOD, RoSAS"
28287500UB,709741.0,5500000888.0,20.0,42.0,42,42,F,,713,713.0,Z008,V9,0.0,0,0,1,E18,2100,,5300173360.0,3.0,1,42,010403000,ST,,,33644aba000343da9558dacfe9615495,RoSAS
34330501,2100.0,,0.0,0.0,0,0,F,41.0,233,233.0,Z003,Y4,580.0,1065,1.8362068965517242,1,E13,2800,2700.0,5300523910.0,0.0,1,49,060100000,ST,,,f6fec02a7fee4ed3a9ba5f79d1987718,XGBOD
34685900,715408.0,4600011261.0,20.0,42.0,0,0,F,30.0,223,223.0,Z004,TB,0.0,0,0,1,,2100,,5300436123.0,3.0,1,56,010403000,ST,,,60ac280a280348a292881d8967e7893f,"XGBOD, RoSAS"
60126329,708868.0,,0.0,0.0,0,0,F,,216,216.0,Z001,Z1,0.0,0,0,100,,2100,,5300548498.0,0.0,1,999,550100000,ST,,,b70f111055314a24a89b5266ea7a950c,RoSAS
34274910,700020.0,5500002201.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,1060.0,9904,9.343396226415095,100,E20,2100,,5300052324.0,0.0,1,4,060100000,ST,,,68b7c141dcac45f0888928045ddf2e01,XGBOD
00350147,701806.0,5500006809.0,10.0,4.0,4,60,F,,708,708.0,Z011,V5,580.0,22308,38.46206896551724,100,E98,3000,,5300390798.0,0.0,2,14,140200000,ST,,,4103bb31837a4504bdad3ab5de0082b6,"XGBOD, RoSAS"
92916,703564.0,,0.0,0.0,0,0,F,,203,203.0,Z002,Z2,0.0,0,0,1,,2000,,5300054338.0,0.0,20,84,090200000,ST,,,8eedb6c46428408788a9a905c65589cd,RoSAS
23647300UB,2000.0,,0.0,0.0,0,0,F,40.0,218,218.0,Z012,Z1,0.0,0,0,1,,3000,3000.0,5300235833.0,0.0,1,999,010402000,ST,,,0aed20d8fc974682bda03e21cc6373cb,RoSAS
