Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,uuid,algorithm,correct
01240900,710392.0,5500005906.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,1240.0,198078,159.74032258064517,1,E15,2100,,5300179976.0,0.0,1,168,550100000,ST,78cdbf87ac9b46b28ea97b0d59b1c296,"ECOD, COPOD",1
34069811,710155.0,5500008767.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,610.0,193309,316.9,1,,2000,,5300460731.0,3.0,1,14,40000000,ST,bdfa697bc582400ca0c292c9f5354971,"ECOD, COPOD",1
34069401,710155.0,5500008762.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,4250.0,1527025,359.3,1,,2100,,5300460733.0,3.0,1,28,40200000,ST,88e4374aa6204259a5030dfa1b5fd977,"ECOD, kNN, COPOD",1
34060803,710155.0,5500009105.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,450.0,6318,14.04,1,,3000,,5300460746.0,3.0,1,14,40100000,ST,8a4dba512c954407a5da32a1410864ba,"ECOD, COPOD",1
01240900,710392.0,5500005907.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,630.0,100917,160.18571428571428,1,E15,3000,,5300179976.0,0.0,1,168,550100000,ST,c1072f2e945b4ad4b265d80a5f65295c,"ECOD, COPOD",1
34063505,710155.0,5500009098.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,26250.0,301350,11.48,1,,2100,,5300460737.0,3.0,1,14,40100000,ST,d5fa4ee1ef1e4962b99f8fabc14e784a,"ECOD, COPOD",1
00131098,707032.0,5500008423.0,10.0,14.0,14,180,F,,702,702.0,Z011,Y6,7480.0,636446,85.08636363636364,1,E11,2000,,5300465587.0,0.0,1,180,30100000,ST,5ba303cf8f3945d28ad21bbf99243acb,"ECOD, COPOD",1
34060814,710155.0,5500009092.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,1020.0,79611,78.05,1,,2100,,5300462808.0,3.0,1,28,40100000,ST,6b36150b7a254bd4b9dc816b41179283,"ECOD, COPOD",1
34063502,710155.0,5500009095.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,6710.0,1419165,211.5,1,,2100,,5300456269.0,3.0,1,14,40100000,ST,6fb702846b0a4e33a1036fed4caee3d5,"ECOD, kNN, COPOD",1
34069811,710155.0,5500009112.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,700.0,222109,317.29857142857145,1,,3000,,5300460731.0,3.0,1,14,40000000,ST,03887b6273754c9384ac9a2d2f1cefb9,"ECOD, COPOD",1
34063501,710155.0,5500009080.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,10.0,5106,510.6,1,,2000,,5300456266.0,3.0,1,28,40100000,ST,c840feeec0da445d8c32da76545286d1,"ECOD, COPOD",1
34638400,701318.0,5500000007.0,20.0,12.0,12,42,F,30.0,702,702.0,Z001,Y9,20.0,436232,21811.6,1,E13,2100,,5300067187.0,3.0,1,42,10403000,ST,7effc74195864229ac23e3ecbefc0171,"ECOD, COPOD",1
34063507,710155.0,5500009100.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,9120.0,942096,103.3,1,,2100,,5300456265.0,3.0,1,14,40100000,ST,7763c87d4ede4dee8e99a882d0746016,"ECOD, kNN, COPOD",1
34060844,710155.0,5500009107.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z3,610.0,37793,61.95573770491804,1,,3000,,5300547227.0,3.0,1,14,40100000,ST,8c2149bb13e54d47a4fc23f72226e4ff,"ECOD, COPOD",1
34069711,710155.0,5500009111.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,900.0,28512,31.68,1,,3000,,5300460732.0,3.0,1,14,40100000,ST,f2128976c8fb4f649071dfe998aeaefc,"ECOD, COPOD",1
34071501,710155.0,5500009087.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1440.0,531792,369.3,1,,2000,,5300456267.0,3.0,1,14,40000000,ST,f5c5799b0aee499696584ba08abcb2d6,"ECOD, COPOD",1
34071201,710155.0,5500009086.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,790.0,324374,410.6,1,,2000,,5300460734.0,3.0,1,28,40000000,ST,afcad521ee4a4dffbeb446b81a14bc35,"ECOD, COPOD",1
34071001,710155.0,5500009104.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,640.0,103936,162.4,1,,2800,,5300460741.0,3.0,1,14,40000000,ST,b6b9427769de43f3b64c241993dbb7e1,"ECOD, COPOD",1
34063501,710155.0,5500009094.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,12380.0,6321228,510.6,1,,2100,,5300456266.0,3.0,1,28,40100000,ST,8cd705847f16458aaf7274818b5ce566,"ECOD, kNN, COPOD, IForest",1
34071551,710155.0,5500009088.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1870.0,685729,366.7,1,,2000,,5300460735.0,3.0,1,14,40000000,ST,0f2d18f56008487c854e70dab45c351b,"ECOD, COPOD",1
01240800,710392.0,5500005903.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,14770.0,2426562,164.28991198375084,1,E15,2000,,5300179975.0,0.0,1,168,550100000,ST,6c56220d73444cd0ae0a97853cf8b2a3,"ECOD, kNN, COPOD",1
34069102,710155.0,5500009084.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1020.0,107712,105.6,1,,2000,,5300456268.0,3.0,1,14,40100000,ST,9eb089ef61c848e0b918eceb85ed7823,"ECOD, COPOD",1
60029336,710392.0,5500005908.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,15610.0,2583145,165.4801409352979,1,E15,2000,,5300383951.0,0.0,1,168,550100000,ST,8aa2e4b85a0f4f72b4ae21e547022259,"ECOD, kNN, COPOD",1
34069102,710155.0,5500009101.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,3030.0,319968,105.6,1,,2100,,5300456268.0,3.0,1,14,40100000,ST,c513587d4d654b09b3fa3645411d5ed8,"ECOD, COPOD",1
34071501,710155.0,5500009087.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1440.0,531792,369.3,1,,2000,,5300456267.0,0.0,1,14,40000000,ST,ba1754f3984f49ea8d4de2b55bc78d9f,"ECOD, COPOD",1
01240900,710392.0,5500005905.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,3840.0,615196,160.20729166666666,1,E15,2000,,5300179976.0,0.0,1,168,550100000,ST,3811e6d7b8bd45648c927d38d021eecf,"ECOD, COPOD",1
60029336,710392.0,5500005909.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,3770.0,624336,165.60636604774535,1,E15,2100,,5300383951.0,0.0,1,168,550100000,ST,e38ad439e5c247d6b5af62f961ed80ca,"ECOD, COPOD",1
34069811,710155.0,5500008767.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,610.0,193309,316.9,1,,2000,,5300460731.0,3.0,1,14,40000000,ST,7a6f375dbc2a42acb20917fce290d26a,"ECOD, COPOD",1
00131566-03,707032.0,5500008424.0,10.0,14.0,14,180,F,,702,702.0,Z011,Y5,1850.0,586563,317.06108108108106,1,E11,2000,,5300465588.0,0.0,1,180,30100000,ST,6347f6783b0c44f3a4fd42c993366877,"ECOD, COPOD",1
34638400,701318.0,5500000007.0,20.0,12.0,12,42,F,30.0,702,702.0,Z001,Y9,20.0,436232,21811.6,1,E13,2100,,5300067187.0,3.0,1,42,10403000,ST,9c862e0d0c92452b9c0308b2dd56783d,"ECOD, COPOD",1
34069711,710155.0,5500008765.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,3900.0,123552,31.68,1,,2100,,5300460732.0,3.0,1,14,40100000,ST,b64d0b2437574a1a827bc0a26a12c1e7,"ECOD, COPOD",1
34069811,710155.0,5500008766.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,5380.0,1704922,316.9,1,,2100,,5300460731.0,3.0,1,14,40000000,ST,58a30055aa7d41bb9c0a13d7ce4e201d,"ECOD, kNN, COPOD",1
34069811,710155.0,5500008766.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,5380.0,1704922,316.9,1,,2100,,5300460731.0,3.0,1,14,40000000,ST,21f6cfc8bc764f3c90d4b25c8646dce1,"ECOD, kNN, COPOD, IForest",1
