Contract Position,Base unit,Product group,Procurement type,Total value,Material master time,Buyer,Contract,Fixed contract 1,Plant,Information record type,Total quantity,Material number,Purchasing group,Supplier,Price unit,Fulfillment time,Calendar,Special procurement type,Purchasing lot size,Plant information record,Information record number,Dispatcher,Fixed contract 2,anomaly
10.0,ST,40100000,F,107712,14,702.0,5500009084.0,14.0,2000,3.0,1020.0,34069102,Z001,710155.0,1,14.0,,30.0,X1,,5300456268.0,702,14.0,1
10.0,ST,550100000,F,2583145,168,702.0,5500005908.0,21.0,2000,0.0,15610.0,60029336,Z011,710392.0,1,21.0,E15,,Y5,,5300383951.0,702,168.0,1
10.0,ST,40100000,F,319968,14,702.0,5500009101.0,14.0,2100,3.0,3030.0,34069102,Z001,710155.0,1,14.0,,30.0,Z0,,5300456268.0,702,14.0,1
10.0,ST,40000000,F,531792,14,702.0,5500009087.0,14.0,2000,0.0,1440.0,34071501,Z001,710155.0,1,14.0,,30.0,X1,,5300456267.0,702,14.0,1
10.0,ST,550100000,F,615196,168,702.0,5500005905.0,21.0,2000,0.0,3840.0,01240900,Z011,710392.0,1,21.0,E15,,Y5,,5300179976.0,702,168.0,1
10.0,ST,550100000,F,624336,168,702.0,5500005909.0,21.0,2100,0.0,3770.0,60029336,Z011,710392.0,1,21.0,E15,,Y5,,5300383951.0,702,168.0,1
10.0,ST,40000000,F,193309,14,702.0,5500008767.0,14.0,2000,3.0,610.0,34069811,Z001,710155.0,1,14.0,,30.0,X1,,5300460731.0,702,14.0,1
10.0,ST,30100000,F,586563,180,702.0,5500008424.0,14.0,2000,0.0,1850.0,00131566-03,Z011,707032.0,1,14.0,E11,,Y5,,5300465588.0,702,180.0,1
20.0,ST,10403000,F,436232,42,702.0,5500000007.0,12.0,2100,3.0,20.0,34638400,Z001,701318.0,1,12.0,E13,30.0,Y9,,5300067187.0,702,42.0,1
10.0,ST,40100000,F,123552,14,702.0,5500008765.0,14.0,2100,3.0,3900.0,34069711,Z001,710155.0,1,14.0,,30.0,X1,,5300460732.0,702,14.0,1
10.0,ST,40000000,F,1704922,14,702.0,5500008766.0,14.0,2100,3.0,5380.0,34069811,Z001,710155.0,1,14.0,,30.0,X1,,5300460731.0,702,14.0,1
10.0,ST,40000000,F,1704922,14,702.0,5500008766.0,14.0,2100,3.0,5380.0,34069811,Z001,710155.0,1,14.0,,30.0,X1,,5300460731.0,702,14.0,1
10.0,ST,40200000,F,64674,28,702.0,5500008763.0,28.0,2000,3.0,180.0,34069401,Z001,710155.0,1,28.0,,30.0,X1,,5300460733.0,702,28.0,1
10.0,ST,40100000,F,123552,14,702.0,5500008765.0,14.0,2100,3.0,3900.0,34069711,Z001,710155.0,1,14.0,,30.0,X1,,5300460732.0,702,14.0,1
10.0,ST,60100000,F,324276,196,702.0,5500007784.0,14.0,3000,0.0,13340.0,23010202,Z011,701528.0,1,14.0,E13,,Y5,,5300038348.0,702,56.0,1
10.0,ST,60100000,F,5593229,196,202.0,5500007783.0,14.0,2100,0.0,221160.0,23010202,Z011,701528.0,1,14.0,E13,,Y5,,5300038348.0,202,56.0,1
10.0,ST,60100000,F,5777481,196,202.0,5500008853.0,14.0,2000,0.0,86360.0,23246101,Z011,701528.0,1,14.0,E13,,Y5,,5300059828.0,202,56.0,1
10.0,ST,60100000,F,324276,196,702.0,5500007784.0,14.0,3000,0.0,13340.0,23010202,Z011,701528.0,1,14.0,E13,,Y5,,5300038348.0,702,56.0,1
10.0,ST,60100000,F,5593229,196,202.0,5500007783.0,14.0,2100,0.0,221160.0,23010202,Z011,701528.0,1,14.0,E13,,Y5,,5300038348.0,202,56.0,1
10.0,ST,30100000,F,944021,180,702.0,5500008421.0,14.0,2000,0.0,8200.0,00130996,Z011,707032.0,1,14.0,E11,,Y5,,5300465586.0,702,180.0,1
0.0,ST,40100000,F,0,7,202.0,,0.0,2700,0.0,0.0,34063504,Z003,2000.0,1,0.0,,40.0,Z5,2700.0,53xxxxxxxxx,202,0.0,1
0.0,ST,130100000,F,2746289,175,202.0,,0.0,3000,0.0,6970.0,00384096,Z012,2100.0,1,0.0,,41.0,Z5,3000.0,5300197042.0,202,0.0,1
0.0,ST,10102000,F,0,2,202.0,,0.0,2100,0.0,0.0,23243801,Z001,3000.0,100,0.0,,40.0,Z4,3000.0,53xxxxxxxxx,202,0.0,1
0.0,ST,140200000,F,205235,4,208.0,,0.0,2000,,53210.0,60069261,Z012,3000.0,100,0.0,,42.0,Z2,,,208,0.0,1
0.0,ST,40100000,F,1729386,105,202.0,,0.0,2000,0.0,8010.0,34063504UB,Z011,709868.0,1,0.0,E15,,Y9,,5300169170.0,202,0.0,1
50.0,ST,50400000,F,354095,112,202.0,4600012023.0,0.0,3000,3.0,50000.0,60079111,Z011,709890.0,100,112.0,E13,30.0,Y9,,5300466907.0,202,0.0,1
10.0,ST,30100000,F,1051338,182,202.0,4600012262.0,0.0,2100,0.0,4110.0,60095840,Z001,701306.0,1,42.0,E13,,Y3,,5300499336.0,202,0.0,1
10.0,ST,30202000,F,2047434,182,202.0,4600012507.0,0.0,2000,0.0,5950.0,24041571,Z001,701306.0,1,42.0,E13,,Y9,,5300425304.0,202,0.0,1
10.0,ST,30202000,F,3074168,182,202.0,4600012562.0,0.0,3000,0.0,7820.0,60034843,Z001,701306.0,1,42.0,E13,,Y9,,5300499791.0,202,0.0,1
10.0,ST,30202000,F,880699,182,202.0,4600011944.0,0.0,2100,0.0,28400.0,00311069,Z001,701306.0,1,28.0,E13,,Y9,,5300005368.0,202,0.0,1
,ST,50400000,F,2728778,3,202.0,,0.0,2100,0.0,38260.0,60079109,Z011,3000.0,100,,E13,42.0,Y9,3000.0,53xxxxxxxxx,202,0.0,1
0.0,ST,10403000,F,2589576,42,202.0,,0.0,2100,3.0,80.0,60076544,Z001,701318.0,1,0.0,E13,30.0,Y3,,5300458505.0,202,0.0,1
0.0,ST,50400000,F,3110986,112,202.0,,0.0,2100,3.0,44570.0,60053595,Z011,709890.0,1,0.0,E13,30.0,Y2,,5300419200.0,202,0.0,1
10.0,ST,40400000,F,165682,112,202.0,4600011737.0,0.0,2000,0.0,12470.0,00310700,Z010,700074.0,1,42.0,,,Z3,,5300003539.0,202,0.0,1
30.0,ST,50400000,F,3157425,112,202.0,4600012023.0,0.0,3000,3.0,44270.0,60079109,Z011,709890.0,100,112.0,E13,30.0,Y9,,5300466908.0,202,0.0,1
10.0,ST,30202000,F,661009,182,202.0,4600011944.0,0.0,2000,0.0,2130.0,00311069,Z001,701306.0,1,28.0,E13,,Y9,,5300005368.0,202,0.0,1
0.0,ST,50400000,F,3110986,112,202.0,,0.0,2100,3.0,44570.0,60053595,Z011,709890.0,1,0.0,E13,30.0,Y2,,5300419200.0,202,0.0,1
0.0,ST,50400000,F,3272856,112,202.0,,0.0,2100,3.0,49290.0,60053593,Z011,709890.0,1,0.0,E13,30.0,Y2,,5300419199.0,202,0.0,1
50.0,ST,50400000,F,354095,112,202.0,4600012023.0,0.0,3000,3.0,50000.0,60079111,Z011,709890.0,100,112.0,E13,30.0,Y9,,5300466907.0,202,0.0,1
,ST,50400000,F,2151481,3,202.0,,0.0,2100,0.0,30380.0,60079111,Z011,3000.0,100,,E13,42.0,Y9,3000.0,53xxxxxxxxx,202,0.0,1
0.0,ST,10403000,F,1377711,42,202.0,,0.0,2100,3.0,90.0,34495600,Z001,701318.0,1,0.0,E13,30.0,Y2,,5300169112.0,202,0.0,1
,ST,50400000,F,2728778,3,202.0,,0.0,2100,0.0,38260.0,60079109,Z011,3000.0,100,,E13,42.0,Y9,3000.0,53xxxxxxxxx,202,0.0,1
10.0,ST,30202000,F,37072879,182,202.0,4600011944.0,0.0,3000,0.0,119470.0,00311069,Z001,701306.0,1,28.0,E13,,Y9,,5300005368.0,202,0.0,1
10.0,ST,50400000,F,2777441,112,202.0,4600012563.0,0.0,2100,3.0,39210.0,60083164,Z011,709890.0,100,28.0,E13,30.0,Y9,,5300496226.0,202,0.0,1
20.0,ST,50400000,F,2061995,112,202.0,4600012563.0,0.0,2100,3.0,29100.0,60083162,Z011,709890.0,100,28.0,E13,30.0,Y9,,5300496225.0,202,0.0,1
10.0,ST,50400000,F,0,112,202.0,4600011061.0,0.0,2100,3.0,0.0,60021995,Z011,709890.0,100,112.0,E13,30.0,Y9,,5300384942.0,202,0.0,1
0.0,ST,10403000,F,1153525,42,202.0,,0.0,2100,3.0,50.0,60017476,Z001,701318.0,1,0.0,E13,30.0,Y9,,5300367575.0,202,0.0,1
0.0,ST,10403000,F,947436,42,202.0,,0.0,2100,3.0,40.0,34639500,Z001,701318.0,1,0.0,E13,30.0,Y9,,5300067309.0,202,0.0,1
0.0,ST,10403000,F,2169372,42,202.0,,0.0,2100,3.0,120.0,60045265,Z001,701318.0,1,0.0,E13,30.0,Y9,,5300443918.0,202,0.0,1
30.0,ST,50400000,F,3157425,112,202.0,4600012023.0,0.0,3000,3.0,44270.0,60079109,Z011,709890.0,100,112.0,E13,30.0,Y9,,5300466908.0,202,0.0,1
,ST,50400000,F,2151481,3,202.0,,0.0,2100,0.0,30380.0,60079111,Z011,3000.0,100,,E13,42.0,Y9,3000.0,53xxxxxxxxxx,202,0.0,1
20.0,ST,50400000,F,0,112,202.0,4600011305.0,0.0,2100,3.0,0.0,60021997,Z011,709890.0,100,112.0,E13,30.0,Y9,,5300384943.0,202,0.0,1
20.0,ST,30202000,F,1490693,182,202.0,4600012020.0,0.0,3000,0.0,6200.0,00311565,Z001,701306.0,1,42.0,E13,,Y9,,5300387812.0,202,0.0,1
0.0,ST,40100000,F,1961506,105,202.0,,0.0,2000,0.0,20620.0,34063505UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464563.0,202,0.0,1
0.0,ST,40100000,F,2967746,105,202.0,,0.0,2000,0.0,9460.0,34071501UB,Z011,716090.0,1,0.0,E15,,Y9,,5300464573.0,202,0.0,1
10.0,ST,30202000,F,2080733,182,202.0,4600012540.0,0.0,2000,0.0,3040.0,00311357,Z001,701306.0,1,42.0,E13,,Y9,,5300387807.0,202,0.0,1
20.0,ST,30202000,F,5755486,182,202.0,4600011998.0,0.0,3000,0.0,15500.0,60034761,Z001,701306.0,1,42.0,E13,,Y9,,5300419936.0,202,0.0,1
10.0,ST,30202000,F,13207068,182,202.0,4600010834.0,0.0,3000,0.0,15680.0,00311349,Z001,701306.0,1,42.0,E13,,Y9,,5300387805.0,202,0.0,1
