,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
12,60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2100,2800.0,5300530239.0,0.0,1,91.0,110400000,ST,1
13,60102743,3000,,0,,,,F,42.0,208,208.0,Z008,Z2,,,100,,2100,2000.0,5300529339.0,0.0,1,140.0,70300000,ST,1
14,60102743,3000,,0,,,,F,42.0,208,208.0,Z008,Z2,,,100,,2100,2100.0,5300529339.0,0.0,1,140.0,70300000,ST,1
15,60045005,3000,,0,,,,F,42.0,233,233.0,Z003,Z1,,,1,,2800,2000.0,5300530239.0,0.0,1,1.0,110400000,ST,1
16,60045005,3000,,0,,,,F,42.0,233,233.0,Z003,Z1,,,1,,2800,2100.0,5300530239.0,0.0,1,1.0,110400000,ST,1
17,60045005,3000,,0,,,,F,42.0,233,233.0,Z003,Z1,,,1,,2800,2800.0,5300530239.0,0.0,1,1.0,110400000,ST,1
18,95151035,3000,,0,,,,F,42.0,215,215.0,Z012,Z3,,,100,,2100,2000.0,5300468755.0,0.0,1,14.0,90400000,ST,1
19,24145403,3000,,0,,,,F,42.0,228,228.0,Z001,Z1,,,100,,2100,2100.0,5300530225.0,0.0,1,3.0,60200000,ST,1
20,25020053,3000,,0,,,,F,42.0,233,233.0,Z001,Z1,,,1,,2100,2000.0,5300529231.0,0.0,1,3.0,60100000,ST,1
21,25020053,3000,,0,,,,F,42.0,233,233.0,Z001,Z1,,,1,,2100,2100.0,5300529231.0,0.0,1,3.0,60100000,ST,1
22,00394040,3000,,0,,,,F,42.0,206,206.0,Z001,Z1,,,1,,2100,2000.0,5300353039.0,0.0,1,30.0,520300000,ST,0
23,00347587,3000,,0,,,,F,42.0,215,215.0,Z001,Z1,,,1,,2100,2000.0,5300409700.0,0.0,1,3.0,80400000,ST,0
24,95193005,2000,,0,,,,F,72.0,202,202.0,Z012,Z1,,,1,,3000,2700.0,5300313258.0,0.0,1,35.0,10302000,ST,1
25,60046975,2000,,0,,,,F,,215,215.0,Z012,Z1,,,100,,3000,2100.0,5300529278.0,0.0,1,14.0,10502000,ST,1
26,34227303,2000,,0,,,,F,72.0,223,223.0,Z012,Z1,,,1,,3000,2700.0,5300277709.0,0.0,1,50.0,10300000,ST,1
27,34635306,2000,,0,,,,F,72.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300281982.0,0.0,1,42.0,10102000,ST,1
28,34635307,2000,,0,,,,F,72.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300281983.0,0.0,1,42.0,10102000,ST,1
29,60059904,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,2100.0,5300427425.0,0.0,1,3.0,80100000,ST,1
30,60021203,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529332.0,0.0,1,3.0,80300000,ST,1
31,00347160,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529326.0,0.0,1,3.0,80600000,ST,1
32,30097701,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1000,,2100,2100.0,5300529371.0,0.0,1,3.0,10301000,ST,1
33,C1016502,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300317208.0,0.0,1,2.0,140200000,ST,1
34,60107424,2000,,0,,,,F,40.0,217,217.0,Z001,Z1,,,100,,2100,2100.0,5300529404.0,0.0,1,2.0,80100000,ST,1
35,60107424,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,100,,3000,2100.0,5300529404.0,0.0,1,84.0,80100000,ST,1
36,80650103,2000,,0,,,,F,40.0,215,215.0,Z001,Y2,,,100,E13,2100,2100.0,5300295818.0,0.0,1,3.0,520100000,ST,1
37,80650206,2000,,0,,,,F,40.0,215,215.0,Z001,Y2,,,100,E13,2100,2100.0,5300295843.0,0.0,1,3.0,520100000,ST,1
38,80901223,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,100,,2100,2100.0,5300529378.0,0.0,1,999.0,520100000,ST,1
39,60035245,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,100,E11,2100,2100.0,5300529338.0,0.0,1,3.0,80100000,ST,1
40,25020873,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,100,,2100,2100.0,5300529367.0,0.0,1,3.0,60100000,ST,1
41,30102717,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300529409.0,0.0,1,3.0,10102000,ST,1
42,00347243,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529399.0,0.0,1,2.0,80600000,ST,1
43,00347250,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529400.0,0.0,1,2.0,80600000,ST,1
44,00347253,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529401.0,0.0,1,2.0,80600000,ST,1
45,00347256,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529402.0,0.0,1,2.0,80600000,ST,1
46,00347264,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529327.0,0.0,1,3.0,80600000,ST,1
47,00347265,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529328.0,0.0,1,3.0,80600000,ST,1
48,60076899,2000,,0,,,,F,40.0,217,217.0,Z001,Z1,,,1,,2100,2100.0,5300529403.0,0.0,1,2.0,80400000,ST,1
49,60031632,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529333.0,0.0,1,3.0,80300000,ST,1
50,60033980,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529335.0,0.0,1,3.0,80100000,ST,1
51,60033981,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529336.0,0.0,1,3.0,80100000,ST,1
52,60033982,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529337.0,0.0,1,3.0,80100000,ST,1
53,60019206,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,2100.0,5300529329.0,0.0,1,3.0,80100000,ST,1
54,60019207,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529330.0,0.0,1,3.0,80100000,ST,1
55,60019209,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529331.0,0.0,1,3.0,80100000,ST,1
56,60021830,2000,,0,,,,F,40.0,233,233.0,Z001,Z1,,,1,,2100,2100.0,5300530238.0,0.0,1,3.0,110400000,ST,1
57,35020275,2000,,0,,,,F,40.0,206,206.0,Z001,Z7,,,1,,2100,2100.0,5300529372.0,0.0,1,3.0,20000000,ST,1
58,36032507,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529373.0,0.0,1,3.0,70500000,ST,1
59,25453505,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529368.0,0.0,1,3.0,70300000,ST,1
60,30020663,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529369.0,0.0,1,3.0,60100000,ST,1
61,04004013,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529362.0,0.0,1,3.0,80600000,ST,1
62,04005861,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529363.0,0.0,1,3.0,80200000,ST,1
63,00345313,2000,,0,,,,F,40.0,215,215.0,Z001,Y2,,,1,E13,2100,2100.0,5300210726.0,0.0,1,3.0,80100000,ST,1
64,60059904,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,2100.0,5300427425.0,0.0,1,84.0,80100000,ST,1
65,95183656,2000,,0,,,,F,40.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300311794.0,0.0,1,999.0,10102000,ST,1
