Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
24147501,3000,,0,0,0,0,F,42.0,213,213.0,Z008,Z4,0,0,100,,2000,2000.0,5300404563.0,0.0,1,7,010102000,ST,1
24245700,3000,,0,0,0,0,F,42.0,213,213.0,Z012,Z3,0,0,1,,2000,2000.0,5300529228.0,0.0,1,1,010401000,ST,1
23056300,3000,,0,0,0,0,F,42.0,213,213.0,Z012,Z1,0,0,1,,2100,2100.0,5300529201.0,0.0,1,3,010501000,ST,1
23064302,3000,,0,0,0,0,F,42.0,228,228.0,Z001,Z4,0,0,1,,2100,2100.0,5300530224.0,0.0,1,3,060100000,ST,1
00310247,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,0,0,1,,2100,2100.0,5300528991.0,0.0,1,3,030202000,ST,1
23044200,3000,,0,0,0,0,F,42.0,213,213.0,Z008,Z7,0,0,100,,2000,2100.0,5300362976.0,0.0,1,3,010102000,ST,1
23243801,3000,,0,0,0,0,F,40.0,202,202.0,Z001,Z4,0,0,100,,2100,,,,1,2,010102000,ST,1
00280159,3000,,0,0,0,0,F,42.0,203,203.0,Z002,Y9,0,0,1,E11,2100,2100.0,5300496180.0,0.0,1,3,131500000,ST,1
60022091,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,100,,3000,,,,1,56,140100000,ST,1
60012551,2000,,0,0,0,0,F,42.0,215,215.0,Z001,Y4,0,0,1,E13,2100,2100.0,5300359068.0,0.0,1,3,080100000,ST,1
60012551,2000,,0,0,0,0,F,42.0,215,215.0,Z001,Y4,0,0,1,E13,2100,3000.0,5300359068.0,0.0,1,3,080100000,ST,1
00200256,2000,,0,0,0,0,F,40.0,231,231.0,Z008,Y4,0,0,100,E14,3000,3000.0,5300204448.0,0.0,1,36,50500000,ST,1
586065,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,1,,3000,3000.0,5300294294.0,0.0,1,28,540300000,ST,1
00422296,701263,,0,0,0,0,F,,223,223.0,Z001,Z1,0,0,100,,2000,,,,1,42,010103000,ST,1
23090400,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,100,,2000,,5300170175.0,0.0,1,63,550100000,ST,1
23090400,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,100,,2000,,5300170175.0,3.0,1,63,550100000,ST,1
00300531,700368,,0,0,0,0,F,,203,203.0,Z010,Y9,0,0,100,E11,2000,,,,1,365,130700000,ST,1
60045015,2000,,0,0,0,0,F,,215,215.0,Z012,Z1,0,0,1,,3000,,,,1,999,080100000,ST,1
60045019,2000,,0,0,0,0,F,,215,215.0,Z012,Z1,0,0,1,,3000,,,,1,999,080100000,ST,1
00341661,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,2000,,,,1,56,080300000,ST,1
00341661,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,2000,,5300448626.0,0.0,1,56,080300000,ST,1
23283200,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2100,,5300024364.0,0.0,1,63,550100000,ST,1
23283200,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2100,,5300024364.0,3.0,1,63,550100000,ST,1
95194467,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2000,,5300194753.0,3.0,1,63,550100000,ST,1
95194467,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2000,,5300194753.0,0.0,1,63,550100000,ST,1
00341324,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,3000,,,,1,84,080300000,ST,1
00341324,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,3000,,5300448630.0,0.0,1,84,080300000,ST,1
36020498,701098,,0,0,0,0,F,,213,213.0,Z001,Z1,0,0,1,,2000,,,,1,42,010502000,ST,1
01150211,701263,,0,0,0,0,F,,223,223.0,Z001,Z1,0,0,1,,2000,,,,1,28,010102000,ST,1
00400915,702335,,0,0,0,0,F,,213,213.0,Z001,Z4,15000,6,1000,,2000,,5300019670.0,0.0,1,56,020000000,MM,1
24736550,704837,,0,0,0,0,F,30.0,213,213.0,Z001,Z4,1510,1072402,1,,2000,,5300168539.0,3.0,2,14,010401000,ST,1
34060836,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y5,1790,845095,1,E11,2000,2000.0,5300199186.0,0.0,2,2,030201000,ST,1
34060836,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y5,1790,845095,1,E11,2000,2700.0,5300199186.0,0.0,2,2,030201000,ST,1
34060836,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y5,1790,845095,1,E11,2000,3000.0,5300199186.0,0.0,2,2,030201000,ST,1
00170203,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Z4,2150,23849,1,,2000,2000.0,5300196916.0,0.0,2,3,050100000,ST,1
00170203,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Z4,2150,23849,1,,2000,3000.0,5300196916.0,0.0,2,3,050100000,ST,1
