,kmean_Unnamed: 0,kmean_Fulfillment time,kmean_Fixed contract 1,kmean_Fixed contract 2,kmean_Total quantity,kmean_Total value,kmean_Price unit,kmean_Plant processing time,kmean_Material master time,dbscan_Unnamed: 0,dbscan_Planlieferzeit Vertrag,dbscan_Vertrag Fix1,dbscan_Vertrag_Fix2,dbscan_Gesamtbestand,dbscan_Gesamtwert,dbscan_Preiseinheit,dbscan_WE-Bearbeitungszeit,dbscan_Planlieferzeit Mat-Stamm,dbscan_anomaly,xgboost_Unnamed: 0,xgboost_Material number,xgboost_Supplier,xgboost_Contract,xgboost_Contract Position,xgboost_Fulfillment time,xgboost_Fixed contract 1,xgboost_Fixed contract 2,xgboost_Procurement type,xgboost_Special procurement type,xgboost_Dispatcher,xgboost_Buyer,xgboost_Purchasing group,xgboost_Purchasing lot size,xgboost_Total quantity,xgboost_Total value,xgboost_Price unit,xgboost_Calendar,xgboost_Plant,xgboost_Plant information record,xgboost_Information record number,xgboost_Information record type,xgboost_Plant processing time,xgboost_Material master time,xgboost_Product group,xgboost_Base unit,lof_Unnamed: 0,lof_Material number,lof_Supplier,lof_Contract,lof_Contract Position,lof_Fulfillment time,lof_Fixed contract 1,lof_Fixed contract 2,lof_Procurement type,lof_Special procurement type,lof_Dispatcher,lof_Buyer,lof_Purchasing group,lof_Purchasing lot size,lof_Total quantity,lof_Total value,lof_Price unit,lof_Calendar,lof_Plant,lof_Plant information record,lof_Information record number,lof_Information record type,lof_Plant processing time,lof_Material master time,lof_Product group,lof_Base unit,lof_anomaly,rfc_Unnamed: 0,rfc_Materialnummer,rfc_Lieferant OB,rfc_Vertrag OB,rfc_Vertragsposition OB,rfc_Planlieferzeit Vertrag,rfc_Vertrag Fix1,rfc_Vertrag_Fix2,rfc_Beschaffungsart,rfc_Sonderbeschaffungsart,rfc_Disponent,rfc_Einkäufer,rfc_DispoGruppe,rfc_Dispolosgröße,rfc_Gesamtbestand,rfc_Gesamtwert,rfc_Preiseinheit,rfc_Kalender,rfc_Werk OB,rfc_Werk Infosatz,rfc_Infosatznummer,rfc_Infosatztyp,rfc_WE_Bearbeitungszeit,rfc_Planlieferzeit Mat-Stamm,rfc_Warengruppe,rfc_Basiseinheit,rfc_Anomaly_Score,rfc_Predicted_Label,iforest_Unnamed: 0,iforest_Material number,iforest_Supplier,iforest_Contract,iforest_Contract Position,iforest_Fulfillment time,iforest_Fixed contract 1,iforest_Fixed contract 2,iforest_Procurement type,iforest_Special procurement type,iforest_Dispatcher,iforest_Buyer,iforest_Purchasing group,iforest_Purchasing lot size,iforest_Total quantity,iforest_Total value,iforest_Price unit,iforest_Calendar,iforest_Plant,iforest_Plant information record,iforest_Information record number,iforest_Information record type,iforest_Plant processing time,iforest_Material master time,iforest_Product group,iforest_Base unit,iforest_if_anomaly
10,878.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,3.0,10,0,0,0,0,0,1,1,280,0,725.0,00400123,700464.0,,0.0,,,,F,,206.0,206.0,Z001,Z1,,,1000.0,,2100.0,,5300016724.0,0.0,1.0,14.0,10201000.0,MM,13958.0,34663506,711636.0,,0.0,,,,F,,211.0,211.0,Z001,Z1,,,100.0,,2100.0,,5300187791.0,0.0,1.0,56.0,010502000,ST,0.0,10,00290448,702465,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300135053.0,0.0,1,280,131100000,ST,0.89,0,3182.0,21262603,701256.0,,0.0,,,,F,,215.0,215.0,Z002,Y3,,,1.0,E13,2000.0,,5300036591.0,0.0,1.0,49.0,100100000.0,ST,0.0
11,1064.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0,11,0,0,0,0,0,1,1,42,0,726.0,9001131,703564.0,,0.0,,,,F,,203.0,203.0,Z001,Z1,,,1.0,,2100.0,,5300053346.0,0.0,40.0,112.0,130700000.0,ST,11813.0,00130608,2000.0,,0.0,,,,F,40.0,203.0,203.0,Z001,Y5,,,1.0,E11,2100.0,2100.0,5300203071.0,0.0,1.0,3.0,070200000,ST,0.0,11,60008163,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z1,0,0,1,,3000,3000.0,5300355835.0,0.0,1,42,10402000,ST,0.4431415382862749,1,2220.0,34669500,715408.0,4600012132.0,70.0,56.0,,,F,30.0,223.0,223.0,Z004,TB,,,1.0,,2000.0,,5300436667.0,3.0,1.0,56.0,10403000.0,ST,0.0
12,1114.0,0.0,0.0,0.0,25000.0,3288.0,1000.0,1.0,14.0,12,0,0,0,0,0,100,1,28,0,730.0,00402009,703535.0,,0.0,,,,F,,203.0,203.0,Z002,Z2,,,1.0,,2000.0,,5300020907.0,0.0,40.0,49.0,131000000.0,ST,5859.0,00310810,700095.0,,0.0,,,,F,,203.0,203.0,Z001,Y5,7250.0,439936.0,1.0,E11,3000.0,,5300004100.0,0.0,1.0,70.0,030202000,ST,1.0,12,96143377UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2000,,5300113039.0,0.0,1,28,10102000,ST,0.3663333333333333,1,2485.0,00370614,701806.0,5500003968.0,10.0,4.0,4.0,60.0,F,,708.0,708.0,Z008,V5,56150.0,39877.0,100.0,E98,2100.0,,5300374713.0,0.0,2.0,4.0,140300000.0,ST,0.0
13,1137.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0,13,0,0,0,0,0,100,1,999,0,745.0,00400325,702533.0,,0.0,,,,F,,206.0,206.0,Z001,Z7,,,1000.0,,2100.0,,5300017566.0,0.0,1.0,14.0,10303000.0,MM,7453.0,21265001UB,2000.0,,0.0,,,,F,40.0,211.0,211.0,Z012,Y3,,,1.0,E14,3000.0,3000.0,5300226804.0,0.0,1.0,35.0,10102000,ST,0.0,13,95192430UB,2000,,0,0,0,0,F,40.0,205,205.0,Z012,Z1,0,0,100,,3000,3000.0,5300313179.0,0.0,1,999,010401000,ST,0.51,0,3808.0,00120693,705086.0,,0.0,,,,F,,708.0,708.0,Z010,Y9,100.0,17402.0,1.0,E15,2100.0,,5300359693.0,0.0,1.0,42.0,70400000.0,ST,0.0
14,1145.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,999.0,14,0,0,0,0,0,100,1,28,0,827.0,23464602,703558.0,,0.0,,,,F,,203.0,203.0,Z001,Z1,,,1.0,,2000.0,,5300028944.0,0.0,40.0,84.0,60100000.0,ST,1640.0,24924010UB,704276.0,,0.0,,,,F,,228.0,228.0,Z001,Y2,,,1.0,E14,2100.0,,5300326502.0,0.0,1.0,42.0,10401000,ST,0.0,14,00341371,706186,,0,0,0,0,F,,215,215.0,Z001,Z7,0,0,100,,2000,,5300092875.0,0.0,1,28,080600000,ST,0.3663333333333333,1,1604.0,35140100,715408.0,4600012454.0,10.0,42.0,,,F,30.0,223.0,223.0,Z004,TB,20.0,1159298.0,1.0,,2000.0,,5300436249.0,3.0,1.0,56.0,10403000.0,ST,0.0
15,1193.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0,15,0,0,0,30,2475,1,1,14,1,1114.0,00400607,700464.0,,0.0,,,,F,,206.0,206.0,Z001,Z7,25000.0,3288.0,1000.0,,2000.0,,5300019804.0,0.0,1.0,14.0,10302000.0,MM,12077.0,33422601,700020.0,,0.0,,,,F,,208.0,208.0,Z011,X4,590.0,12759.0,100.0,E20,3000.0,,5300062961.0,0.0,1.0,84.0,140400000,ST,0.0,15,04002497,702779,,0,0,0,0,F,,276,276.0,Z012,Y3,30,2475,1,E11,3000,,5300106594.0,0.0,1,14,080100000,ST,0.524,0,9314.0,00100055,708551.0,5500003727.0,10.0,14.0,14.0,60.0,F,,708.0,708.0,Z010,Y5,53370.0,654402.0,1.0,E14,2000.0,,5300149266.0,0.0,1.0,60.0,70300000.0,ST,0.0
16,1227.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.0,16,0,0,0,0,0,1,1,28,0,1137.0,04004628,701112.0,,0.0,,,,F,,206.0,206.0,Z001,Z1,,,1000.0,,2000.0,,5300116516.0,0.0,1.0,42.0,110100000.0,ST,13175.0,30048700,704955.0,,0.0,,,,F,,228.0,228.0,Z001,Z7,,,1.0,,2000.0,,5300121585.0,0.0,1.0,56.0,010401000,ST,0.0,16,00300188,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y2,0,0,1,E11,3000,3000.0,5300207369.0,0.0,1,28,130000000,ST,0.88,0,6355.0,00360237,701806.0,5500006835.0,10.0,4.0,4.0,60.0,F,,708.0,708.0,Z011,V4,6050.0,4709.0,100.0,E98,3000.0,,5300174114.0,0.0,2.0,13.0,140100000.0,ST,0.0
17,1248.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,12.0,17,0,0,0,560,2254,100,1,14,1,1193.0,00400124,2000.0,,0.0,,,,F,72.0,206.0,206.0,Z012,Z7,,,1000.0,,3000.0,3000.0,5300216486.0,0.0,1.0,35.0,10201000.0,MM,9758.0,21339500UB,2000.0,,0.0,,,,F,40.0,228.0,228.0,Z012,Z3,,,1.0,,3000.0,3000.0,5300228271.0,0.0,1.0,999.0,10401000,ST,0.0,17,00310909,701202,,0,0,0,0,F,,215,215.0,Z001,Y4,560,2254,100,E13,2000,,5300004608.0,0.0,1,14,140100000,ST,0.1994642857142857,1,5241.0,00370041,701806.0,5500006865.0,10.0,4.0,4.0,60.0,F,,708.0,708.0,Z011,V4,22140.0,23601.0,100.0,E98,3000.0,,5300174062.0,0.0,2.0,13.0,140100000.0,ST,0.0
18,1262.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0,18,0,0,0,0,0,1,1,180,0,1307.0,00400894,702533.0,,0.0,,,,F,,206.0,206.0,Z001,Z7,25000.0,12092.0,1000.0,,2000.0,,5300019565.0,0.0,1.0,14.0,10304000.0,MM,3651.0,00370710,700020.0,,0.0,,,,F,,708.0,708.0,Z011,X4,,,100.0,E20,3000.0,,5300084461.0,0.0,1.0,12.0,140200000,ST,0.0,18,00390689,701979,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,3000,,5300119162.0,0.0,1,180,520300000,ST,0.86,0,5011.0,34638400,701318.0,5500000007.0,20.0,12.0,12.0,42.0,F,30.0,702.0,702.0,Z001,Y9,20.0,436232.0,1.0,E13,2100.0,,5300067187.0,3.0,1.0,42.0,10403000.0,ST,0.0
19,1342.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,45.0,19,0,0,0,0,0,1,1,42,0,1342.0,04005254,706943.0,,0.0,,,,F,,208.0,208.0,Z001,Z7,,,1000.0,,2000.0,,,,1.0,45.0,130700000.0,ST,6956.0,60116358,702236.0,,0.0,,,,F,,708.0,708.0,Z001,Z1,360.0,38992.0,100.0,,2100.0,,5300537927.0,0.0,1.0,999.0,070400000,ST,0.0,19,35190350,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300199911.0,0.0,1,42,010403000,ST,0.4431415382862749,1,1625.0,00120784,705086.0,,0.0,,,,F,,708.0,708.0,Z001,Y9,,,1.0,E12,2700.0,,5300369940.0,0.0,1.0,42.0,70400000.0,ST,0.0
