,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,if_anomaly
4739,60083665,704926,5500008790.0,10,42.0,42.0,42.0,F,30.0,219,219.0,Z010,Z3,,,1,,2000,,5300519463.0,3.0,1.0,84,10402000,ST,0
2175,34560400UB,704926,4600007769.0,10,14.0,,,F,30.0,223,223.0,Z001,Z6,,,1,,2000,,5300151112.0,0.0,1.0,14,10403000,ST,0
8779,00360414,701806,5500001949.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,113420.0,167941.0,100,E98,2000,,5300358384.0,0.0,2.0,4,140100000,ST,0
340,23116300UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2100,,5300089880.0,3.0,1.0,42,10400000,ST,0
7484,23116100,715408,4600012906.0,30,56.0,,,F,30.0,223,223.0,Z013,TB,,,1,,2000,,5300548431.0,3.0,1.0,56,10403000,ST,0
6666,00371219,701806,5500006902.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,4380.0,4508.0,100,E98,2000,,5300391395.0,0.0,2.0,14,140100000,ST,0
3689,00170043,701806,5500003316.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,22560.0,4665.0,1000,E98,3000,,5300174182.0,0.0,2.0,4,140300000,ST,0
142,23020400UB,704926,,0,,,,F,30.0,223,223.0,Z001,Z5,,,1,,2000,,5300085632.0,3.0,1.0,42,10403000,ST,0
2767,00370523,701806,5500002938.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,2290.0,826.0,100,E98,2000,,5300381894.0,0.0,2.0,4,140100000,ST,0
5409,00360066,701806,5500000449.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,190.0,1428.0,100,E98,2000,,5300174158.0,0.0,2.0,4,140100000,ST,0
260,24377800UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2000,,5300165720.0,0.0,1.0,42,10403000,ST,0
1773,24941300UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2000,,5300193339.0,3.0,1.0,42,10402000,ST,0
