,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit
1929,00400558,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019452.0,0.0,1.0,21,010202000,MM
2012,00400157,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216518.0,0.0,1.0,28,010201000,MM
2077,00380237,703558,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300005798.0,0.0,40.0,84,070100000,ST
2079,00400685,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216903.0,0.0,1.0,21,010202000,MM
2082,00400397,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018046.0,0.0,1.0,42,010301000,MM
2098,00400567,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216801.0,0.0,1.0,14,010202000,MM
2170,00400811,700464,,0,,,,F,,206,206.0,Z001,Z7,45000.0,1450.0,1000,,2000,,5300018912.0,0.0,1.0,21,010201000,MM
2346,00400099,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016472.0,0.0,1.0,14,010201000,MM
2454,04005263,706943,,0,,,,F,,208,208.0,Z001,Z1,,,1000,,2100,,,,1.0,999,130000000,ST
2554,04005261,706943,,0,,,,F,,208,208.0,Z001,Z1,,,1000,,2100,,5300118000.0,0.0,1.0,45,130700000,ST
2595,04004552,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300116487.0,0.0,1.0,42,110100000,ST
2620,00400408,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300057603.0,0.0,1.0,35,010301000,MM
2660,00380911,700098,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300008002.0,0.0,15.0,84,090100000,ST
2674,00400975,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300155590.0,0.0,1.0,28,010301000,MM
2699,00400934,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019747.0,0.0,1.0,14,010202000,MM
2743,9390-195,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300054417.0,0.0,40.0,112,140100000,ST
2753,00401930,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217467.0,0.0,1.0,35,010205000,MM
2757,00400089,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300016356.0,0.0,1.0,14,010201000,MM
