,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
18674,31273400UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z7,,,100,,3000,3000.0,5300272512.0,0.0,1.0,35,010401000,ST,0
13278,60034618,714846,,0,,,,F,30.0,228,228.0,Z012,Y2,,,1,E13,3000,,5300430830.0,3.0,1.0,56,10403000,ST,1
4438,60039716,702225,,0,,,,F,,213,213.0,Z004,TB,,,1,,2100,,5300414339.0,0.0,1.0,63,10404000,ST,0
15325,00420540,701263,,0,,,,F,,223,223.0,Z001,Z1,,,1,,2000,,5300023756.0,0.0,1.0,14,010103000,ST,0
13366,00390179,2000,,0,,,,F,40.0,206,206.0,Z012,Z1,,,1,,3000,3000.0,5300215022.0,0.0,1.0,30,581100000,ST,1
15773,00381097,2000,,0,,,,F,40.0,203,203.0,Z012,Z1,40.0,21178.0,1,,3000,3000.0,5300214070.0,0.0,1.0,84,070100000,ST,0
6987,00345060,708038,5500008574.0,10,14.0,14.0,84.0,F,,715,715.0,Z001,Y5,3080.0,94951.0,1,E11,2000,,5300141139.0,0.0,1.0,84,80100000,ST,0
9091,33841200UB,2000,,0,,,,F,40.0,213,213.0,Z012,TB,,,1,,3000,3000.0,5300276417.0,0.0,1.0,56,10403000,ST,0
8651,30135900-03,704854,,0,,,,F,30.0,205,205.0,Z001,Z1,,,1,,2100,,5300394352.0,3.0,1.0,4,010402000,ST,1
14963,04006876,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1,E11,2000,,5300151184.0,0.0,1.0,5,120000000,ST,0
8097,23094900,2100,,0,,,,F,41.0,999,999.0,Z012,Z4,,,1,,3000,3000.0,5300520068.0,0.0,1.0,999,550100000,ST,1
3986,00370848,706261,,0,,,,F,,264,264.0,Z010,Y4,,,100,E11,2100,,5300120833.0,0.0,1.0,21,140700000,ST,0
11245,00100050,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,1,,3000,3000.0,5300200385.0,0.0,1.0,56,70300000,ST,0
8686,60020892,2000,,0,,,,F,40.0,252,252.0,Z012,Z5,,,1,,3000,3000.0,5300412948.0,0.0,1.0,999,0,ST,0
18619,00340737,707195,,0,,,,F,,215,215.0,Z012,Z2,100.0,1284.0,100,,3000,,5300542846.0,0.0,1.0,14,080600000,ST,0
2119,00392454,708148,,0,,,,F,,206,206.0,Z001,Z1,10.0,2498.0,1,,3000,,5300152622.0,0.0,1.0,180,520300000,ST,0
7207,00380131,702165,,0,,,,F,,203,203.0,Z001,Z1,,,100,,2000,,5300005192.0,0.0,1.0,21,120000000,ST,1
5711,00390745,701230,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300115952.0,0.0,1.0,30,530000000,ST,0
9815,04004652,701112,,0,,,,F,,277,277.0,Z001,Z7,30.0,266382.0,1,,3000,,5300118860.0,0.0,1.0,98,550100000,ST,0
14372,00360226,701806,,0,,,,F,,208,208.0,Z010,X6,,,100,E99,2700,,5300393707.0,0.0,1.0,14,140100000,ST,0
11139,00290442,702465,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300113498.0,0.0,1.0,280,131100000,ST,1
2298,30076301,1900,,0,,,,F,,206,206.0,Z001,Y4,,,100,E11,2000,,5300095725.0,0.0,1.0,5,010102000,ST,0
2361,34362700UB,704276,,0,,,,F,,228,228.0,Z001,Y2,,,1,E14,2000,,5300092448.0,0.0,1.0,42,10403000,ST,0
10826,34071101,2000,,0,,,,F,40.0,224,224.0,Z012,Z7,110.0,59851.0,1,,3000,3000.0,5300277044.0,0.0,1.0,168,040000000,ST,0
2026,34892903,2100,,0,,,,F,41.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300199759.0,0.0,1.0,28,010304000,ST,0
5142,496206,700185,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300049919.0,0.0,1.0,28,130000000,ST,0
5146,35160730UB,702225,,0,,,,F,30.0,213,213.0,Z008,Z1,,,1,,2000,,5300156360.0,3.0,1.0,56,10401000,ST,0
14814,00265148,700222,,0,,,,F,,208,208.0,Z011,Y3,,,1,E11,2000,,5300085687.0,0.0,1.0,14,070400000,ST,0
9586,C1016502,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300317208.0,0.0,1.0,2,140200000,ST,0
3578,24767110,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300253725.0,0.0,1.0,42,0,ST,0
2189,35010128,1900,,0,,,,F,,219,219.0,Z001,Z1,,,1,,2100,,5300082133.0,0.0,1.0,5,070200000,ST,0
558,04007276,707779,,0,,,,F,,998,998.0,Z001,Z1,,,1,,2100,,5300162240.0,0.0,1.0,28,070600000,ST,0
16934,60096571,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300529471.0,0.0,1.0,10,00,ST,0
14625,25021130,2000,,0,,,,F,40.0,989,989.0,Z012,Z1,,,100,,3000,3000.0,5300257467.0,0.0,1.0,999,10102000,ST,0
485,34742202,700151,,0,,,,F,,233,233.0,Z011,Y4,,,1,E13,2700,,5300045675.0,0.0,1.0,42,060100000,ST,0
8348,00381113,708008,,0,,,,F,,203,203.0,Z008,Y9,,,100,E11,3000,,5300137736.0,0.0,1.0,14,120000000,ST,0
4548,24075800,2000,,0,,,,F,40.0,224,224.0,Z012,EX,20.0,9618.0,1,,3000,3000.0,5300242056.0,0.0,1.0,42,010102000,ST,0
9253,95070238,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,2100,,5300055596.0,0.0,1.0,3,010103000,ST,0
14346,80270910,2000,,0,,,,F,40.0,203,203.0,Z012,Y9,,,100,E11,3000,3000.0,5300294733.0,0.0,1.0,14,520100000,ST,0
12301,28133304UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,1,,3000,3000.0,5300262848.0,0.0,1.0,999,10102000,ST,0
10049,60098681,707144,,0,,,,F,,279,279.0,Z001,Y4,200.0,2213.0,100,E11,3000,,5300503743.0,0.0,1.0,84,00,ST,0
16975,00345109,708235,,0,,,,F,,215,215.0,Z008,Y7,130.0,10319.0,1,E13,3000,,5300137142.0,0.0,1.0,42,080200000,ST,1
7410,00130473,700049,,0,,,,F,,203,203.0,Z011,Y5,,,1,E11,2100,,5300013887.0,0.0,1.0,35,070200000,ST,1
4870,96192287,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300316968.0,0.0,1.0,999,0,ST,0
15028,00392405,708148,,0,,,,F,,206,206.0,Z001,Z1,10.0,67.0,1,,3000,,5300149608.0,0.0,1.0,180,520300000,ST,0
10132,60047069,702686,,0,,,,F,40.0,215,215.0,Z003,Y6,,,1,E13,2100,,5300410724.0,0.0,1.0,84,080100000,ST,0
5719,00380347,708008,,0,,,,F,,703,703.0,Z008,Y2,650.0,16737.0,100,E11,2100,,5300126740.0,0.0,1.0,14,120000000,ST,0
7471,60033438,708038,,0,,,,F,,215,215.0,Z001,Y6,,,1,E11,2000,,5300384316.0,0.0,1.0,84,080100000,ST,0
11571,496995,700185,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300050000.0,0.0,1.0,28,120000000,ST,0
7879,34941503,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,1,,3000,3000.0,5300286136.0,0.0,1.0,42,10103000,ST,0
17121,01131203,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415007.0,3.0,1.0,7,140400000,ST,0
3233,24593400UB,2000,,0,,,,F,40.0,228,228.0,Z012,Z3,,,1,,3000,3000.0,5300249617.0,0.0,1.0,42,10401000,ST,0
2221,28122530UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300262711.0,0.0,1.0,42,140300000,ST,0
5702,96193814,2000,,0,,,,F,72.0,223,223.0,Z012,Z1,,,1,,3000,3000.0,5300317082.0,0.0,1.0,999,10103000,ST,0
16845,25020162,1900,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300161585.0,0.0,2.0,5,070300000,ST,0
18529,95183464UB,2000,,0,,,,F,40.0,228,228.0,Z012,Z1,,,1,,3000,2700.0,5300311590.0,0.0,1.0,56,10402000,ST,0
15340,95173224,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300309847.0,0.0,1.0,35,10102000,ST,0
15960,31083801,2000,,0,,,,F,40.0,233,233.0,Z012,Y3,,,100,E11,3000,3000.0,5300270926.0,0.0,1.0,35,60100000,ST,0
15595,37024602UB,700000,,0,,,,F,,723,723.0,Z001,V3,,,100,E19,2100,,5300193271.0,0.0,1.0,42,10102000,ST,0
15780,00347085,706888,,0,,,,F,,707,707.0,Z001,Z2,,,100,,2000,,5300156092.0,0.0,1.0,10,080600000,ST,1
6253,23486500,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,,,1,,3000,3000.0,5300234254.0,0.0,1.0,25,10401000,ST,0
10780,00190551,702586,,0,,,,F,,203,203.0,Z010,Y2,,,1,E11,2000,,5300165511.0,0.0,1.0,180,070600000,ST,0
4731,23282700,2100,,0,,,,F,41.0,203,203.0,Z001,Y3,10.0,601.0,1,E11,2000,2000.0,5300197586.0,0.0,1.0,3,070200000,ST,0
16837,23875700,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300239273.0,0.0,1.0,42,010401000,ST,0
11337,60065170,700000,,0,,,,F,,723,723.0,Z001,X3,11630.0,5437.0,100,E20,2000,,5300432045.0,0.0,1.0,35,010102000,ST,0
10585,01565414,701056,,0,,,,F,30.0,706,706.0,Z011,Y4,,,100,E12,2000,,5300179896.0,3.0,1.0,14,550100000,ST,1
3682,00100505,708105,,0,,,,F,,206,206.0,Z001,Z7,,,100,,2000,,5300134639.0,0.0,2.0,28,070300000,ST,0
11710,95195450,2000,,0,,,,F,40.0,216,216.0,Z012,Z1,,,100,,3000,3000.0,5300314470.0,0.0,1.0,999,10502000,ST,0
59,28240362,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300264661.0,0.0,1.0,999,010102000,ST,0
10305,00120842,705086,,0,,,,F,,708,708.0,Z001,Y9,,,1,E15,2100,,5300170734.0,0.0,1.0,42,070400000,ST,0
8591,01160202,702225,,0,,,,F,,221,221.0,Z001,Z7,,,1,,2000,,5300024745.0,0.0,1.0,28,010102000,ST,0
8957,04007936,1900,,0,,,,F,,998,998.0,Z001,Z1,,,100,,2100,,5300177541.0,0.0,1.0,5,131400000,ST,0
200,60111337,708148,,0,,,,F,,206,206.0,Z012,Z1,270.0,80635.0,1,,3000,,5300526744.0,0.0,1.0,90,520300000,ST,0
3143,60027000,1000,,0,,,,F,,991,991.0,Z012,Z1,,,1,,3000,,5300378728.0,0.0,1.0,3,10402000,ST,0
10120,23510911,700020,5500004812.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,X4,350.0,782.0,1,E20,2000,,5300035895.0,0.0,1.0,4,140400000,ST,0
7508,04003730,701885,,0,,,,F,,278,278.0,Z012,Z7,680.0,5117.0,100,,3000,,5300107361.0,0.0,1.0,14,140700000,ST,0
13290,00346333,702686,5500001958.0,20,28.0,28.0,112.0,F,,715,715.0,Z003,Y6,110.0,65646.0,1,E13,2100,,5300096595.0,0.0,1.0,84,80100000,ST,0
12683,60103464,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300529732.0,0.0,1.0,10,0,ST,0
2247,24350402UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z6,,,100,,3000,3000.0,5300245123.0,0.0,1.0,28,10102000,ST,0
13433,36059630,2000,,0,,,,F,40.0,989,989.0,Z012,Z1,,,100,,3000,3000.0,5300291162.0,0.0,1.0,999,10102000,ST,0
6790,00311317,2000,,0,,,,F,40.0,233,233.0,Z012,Y4,,,100,E13,3000,3000.0,5300208828.0,0.0,1.0,42,110100000,ST,0
8731,04100232,706808,,0,,,,F,,707,707.0,Z001,Z2,,,100,,2100,,5300104115.0,0.0,1.0,14,140700000,ST,0
13280,04003666,701348,,0,,,,F,,279,279.0,Z001,Y4,,,1000,E15,3000,,5300195953.0,0.0,1.0,42,140700000,ST,0
6829,00190382,706910,,0,,,,F,,272,272.0,Z009,Z7,600.0,7339.0,100,,3000,,5300108239.0,0.0,1.0,112,140700000,ST,0
12332,34934200UB-01,704276,,0,,,,F,,228,228.0,Z001,Y2,,,1,E14,2100,,5300369892.0,0.0,1.0,42,10401000,ST,0
12593,00393124,701948,,0,,,,F,,206,206.0,Z001,Y4,,,100,E15,2100,,5300014916.0,0.0,1.0,14,530104000,ST,0
