,Fulfillment time,Fixed contract 1,Fixed contract 2,Total quantity,Total value,Price unit,Plant processing time,Material master time
6885,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6888,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6941,4.0,4.0,60.0,91710.0,7631.0,100.0,1.0,4.0
7045,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
7101,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7157,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.0
7184,0.0,0.0,0.0,285800.0,4852.0,1000.0,1.0,14.0
7200,0.0,0.0,0.0,100000.0,374.0,1000.0,1.0,12.0
7235,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
7280,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
7331,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7361,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
7428,0.0,0.0,0.0,105000.0,6457.0,100.0,1.0,42.0
7480,4.0,4.0,60.0,22510.0,3215.0,100.0,2.0,4.0
7641,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7649,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7670,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
7703,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
7742,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
7761,0.0,0.0,0.0,150.0,29594602.0,1.0,1.0,340.0
7789,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,49.0
7801,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
7897,0.0,0.0,0.0,45000.0,3690.0,100.0,1.0,30.0
7905,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
7994,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
8122,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
8155,4.0,4.0,60.0,25830.0,834.0,1000.0,1.0,13.0
8156,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,84.0
8368,0.0,0.0,0.0,58000.0,2201.0,100.0,1.0,21.0
8405,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
8434,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,365.0
8440,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
8450,0.0,0.0,0.0,9720.0,612.0,1.0,2.0,14.0
8490,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,7.0
8499,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
8528,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
8567,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,15.0
8822,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,56.0
8848,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
8905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.0
8907,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
8911,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
8952,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
8965,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
8992,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
8993,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
9079,4.0,4.0,60.0,24600.0,1771.0,100.0,2.0,4.0
9227,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
9270,4.0,4.0,60.0,814820.0,309958.0,100.0,1.0,4.0
9326,0.0,0.0,0.0,75000.0,1725.0,1000.0,1.0,14.0
9328,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
9355,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
9394,0.0,0.0,0.0,1972500.0,32992.0,1000.0,1.0,14.0
9407,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
9421,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
9503,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
9520,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
9631,112.0,0.0,0.0,6310.0,11928214.0,1.0,1.0,112.0
9697,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
9742,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
9762,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
9820,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
9860,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
