,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
3438,60075827,1000,,0,0,0,0,F,,991,991.0,Z012,Z1,0,0,1,,3000,,5300457860.0,0.0,1,3,10403000,ST,0.2132805427938091,1
3439,95070184UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2000,,5300055572.0,0.0,1,28,10103000,ST,0.88,0
3440,23788603UB,701805,,0,0,0,0,F,40.0,211,211.0,Z010,Y4,0,0,100,E12,2100,,5300454649.0,0.0,1,35,60100000,ST,0.961,0
3441,34479103UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2000,,5300097507.0,0.0,1,28,10102000,ST,0.3663333333333333,1
3442,95120392UB,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300304421.0,0.0,1,42,10102000,ST,0.8318333333333335,0
3443,04008330,701668,,0,0,0,0,F,,207,207.0,Z001,Z1,0,0,100,,2000,,5300189362.0,0.0,1,14,140200000,ST,0.6729007936507937,0
3444,04004158,700222,,0,0,0,0,F,,208,208.0,Z011,Y9,0,0,1000,E11,2100,,5300149082.0,0.0,1,14,100202000,ST,0.2388690476190476,1
3445,04007851,707144,,0,0,0,0,F,,206,206.0,Z001,Y4,0,0,100,E11,2000,,5300172071.0,0.0,1,42,100202000,ST,0.8318333333333335,0
3446,00210303,701660,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300003782.0,0.0,1,70,131200000,ST,0.985,0
3447,00170204,2000,,0,0,0,0,F,40.0,203,203.0,Z003,Y4,0,0,1,E13,2800,2100.0,5300203777.0,0.0,1,105,50200000,ST,0.35,1
3448,00346243,702686,,0,0,0,0,F,,215,215.0,Z009,Y2,0,0,1,E13,2000,,5300109602.0,0.0,1,84,080100000,ST,0.0,1
3449,24428625,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300246876.0,0.0,1,999,010502000,ST,0.51,0
3450,04004414,701348,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300107779.0,0.0,1,84,130000000,ST,0.7,0
3451,00150150,700223,,0,0,0,0,F,,208,208.0,Z011,Y2,180,20591,1,E13,2100,,5300092415.0,0.0,1,70,090400000,ST,0.61,0
3452,33421802,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300047580.0,0.0,1,30,010301000,ST,0.8859999999999999,0
3453,00371140,700611,,0,0,0,0,F,,208,208.0,Z001,Y4,0,0,100,E11,2100,,5300141855.0,0.0,1,14,140100000,ST,0.6729007936507937,0
3454,04104273,700020,,0,0,0,0,F,,208,208.0,Z011,X4,370,999,1000,E20,3000,,5300111218.0,0.0,1,12,140100000,ST,0.21375,1
3455,00330428,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Y2,10,6656,1,E13,3000,3000.0,5300209307.0,0.0,1,49,110400000,ST,0.2483333333333333,1
3456,00120230,705086,,0,0,0,0,F,,708,708.0,Z010,Y2,0,0,1,E15,2100,,5300359633.0,0.0,1,42,070400000,ST,0.4431415382862749,1
