Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
3740,00400488,700464,,0,,,,F,,206,206.0,Z001,Z7,60000.0,39338.0,1000,,2000,,5300018792.0,0.0,1.0,21,10301000,MM,00400488,700464,,0,0,0,0,F,,206,206.0,Z001,Z7,60000,39338,1000,,2000,,5300018792.0,0.0,1,21,010301000,MM,0.11,1
3763,00250050,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,80000.0,3028.0,1000,E11,3000,3000.0,5300205467.0,0.0,1.0,21,140700000,MM,00250050,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y3,80000,3028,1000,E11,3000,3000.0,5300205467.0,0.0,1,21,140700000,MM,0.08,1
3798,04004557,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2000,,5300116490.0,0.0,1.0,28,110100000,ST,04004557,701112,,0,0,0,0,F,,206,206.0,Z001,Z2,0,0,1000,,2000,,5300116490.0,0.0,1,28,110100000,ST,0.17,1
3860,00400726,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216936.0,0.0,1.0,28,10205000,MM,00400726,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z7,0,0,1000,,3000,3000.0,5300216936.0,0.0,1,28,010205000,MM,0.17,1
3866,00400148,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016989.0,0.0,1.0,14,10201000,MM,00400148,700464,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2000,,5300016989.0,0.0,1,14,010201000,MM,0.2388690476190476,1
3917,00400935,702533,,0,,,,F,,206,206.0,Z001,Z7,125000.0,136745.0,1000,,2000,,5300019750.0,0.0,1.0,14,10202000,MM,00400935,702533,,0,0,0,0,F,,206,206.0,Z001,Z7,125000,136745,1000,,2000,,5300019750.0,0.0,1,14,010202000,MM,0.08,1
3968,00400600,702533,,0,,,,F,,206,206.0,Z002,Z7,60000.0,10629.0,1000,,2000,,5300019745.0,0.0,1.0,14,10302000,MM,00400600,702533,,0,0,0,0,F,,206,206.0,Z002,Z7,60000,10629,1000,,2000,,5300019745.0,0.0,1,14,010302000,MM,0.06,1
4044,00401926,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300020861.0,0.0,1.0,14,10303000,MM,00401926,700464,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2100,,5300020861.0,0.0,1,14,010303000,MM,0.2388690476190476,1
4208,00400710,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300185516.0,0.0,1.0,28,10301000,MM,00400710,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z7,0,0,1000,,3000,3000.0,5300185516.0,0.0,1,28,010301000,MM,0.17,1
4229,04004543,701112,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300116482.0,0.0,1.0,28,110100000,ST,04004543,701112,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300116482.0,0.0,1,28,110100000,ST,0.17,1
4252,00400618,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216846.0,0.0,1.0,28,10302000,MM,00400618,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z7,0,0,1000,,3000,3000.0,5300216846.0,0.0,1,28,010302000,MM,0.17,1
4354,04004753,700020,,0,,,,F,,708,708.0,Z011,X4,,,1000,E20,2100,,5300107882.0,0.0,1.0,14,140200000,ST,04004753,700020,,0,0,0,0,F,,708,708.0,Z011,X4,0,0,1000,E20,2100,,5300107882.0,0.0,1,14,140200000,ST,0.2388690476190476,1
4512,00400924,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217097.0,0.0,1.0,35,10301000,MM,00400924,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z1,0,0,1000,,3000,3000.0,5300217097.0,0.0,1,35,010301000,MM,0.2366666666666666,1
