Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time_x,Fixed contract 1_x,Fixed contract 2_x,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity_x,Total value_x,Price unit_x,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time_x,Material master time_x,Product group,Base unit,Fulfillment time_y,Fixed contract 1_y,Fixed contract 2_y,Total quantity_y,Total value_y,Price unit_y,Plant processing time_y,Material master time_y
1342,04005254,706943,,0,,,,F,,208,208.0,Z001,Z7,,,1000,,2000,,,,1.0,45,130700000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,45.0
1346,00401920,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300134034.0,0.0,1.0,30,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
1428,00400628,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019953.0,0.0,1.0,21,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
1550,04002151,706822,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300106394.0,0.0,1.0,14,80900000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1559,00400400,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018057.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1624,00400958,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217126.0,0.0,1.0,21,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
1660,04005158,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300119995.0,0.0,1.0,14,140100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1771,00402239,2000,,0,,,,F,40.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300499936.0,0.0,1.0,999,10300000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,999.0
1929,00400558,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019452.0,0.0,1.0,21,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
2012,00400157,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216518.0,0.0,1.0,28,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
2079,00400685,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216903.0,0.0,1.0,21,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
2082,00400397,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018046.0,0.0,1.0,42,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
2098,00400567,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216801.0,0.0,1.0,14,10202000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2170,00400811,700464,,0,,,,F,,206,206.0,Z001,Z7,45000.0,1450.0,1000,,2000,,5300018912.0,0.0,1.0,21,10201000,MM,0.0,0.0,0.0,45000.0,1450.0,1000.0,1.0,21.0
2346,00400099,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016472.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2454,04005263,706943,,0,,,,F,,208,208.0,Z001,Z1,,,1000,,2100,,,,1.0,999,130000000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,999.0
2554,04005261,706943,,0,,,,F,,208,208.0,Z001,Z1,,,1000,,2100,,5300118000.0,0.0,1.0,45,130700000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,45.0
2595,04004552,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300116487.0,0.0,1.0,42,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
2620,00400408,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300057603.0,0.0,1.0,35,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
