Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,if_anomaly
228,28181900UB,700585,4600012585.0,10,84.0,,,F,,203,203.0,Z010,Y5,80.0,62712.0,1,E14,3000,,5300084186.0,0.0,1.0,14,10401000,ST,
230,00400090,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016370.0,0.0,1.0,14,10201000,MM,
241,01160400UB,702001,,0,,,,F,40.0,203,203.0,Z001,Z1,,,1,,2100,,5300024756.0,0.0,1.0,3,131100000,ST,
247,30020376.1,1900,,0,,,,F,,206,206.0,Z001,Z7,,,100,,2000,,5300087150.0,0.0,1.0,5,10102000,ST,
249,95070220,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415406.0,3.0,1.0,7,10302000,ST,
261,270237,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300033991.0,0.0,40.0,112,60200000,ST,
266,30020884,1900,,0,,,,F,,206,206.0,Z001,Y4,,,100,E11,2000,,5300141391.0,0.0,1.0,5,60100000,ST,
275,23431601,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415122.0,3.0,1.0,7,60100000,ST,
281,00350787,701806,5500003585.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,9030.0,3139.0,100,E98,2000,,5300391586.0,0.0,2.0,4,140200000,ST,
285,00130062,703568,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300010933.0,0.0,15.0,84,70200000,ST,
292,00390874,2000,,0,,,,F,40.0,206,206.0,Z003,X1,1620.0,90089.0,1,,2100,2100.0,5300077179.0,0.0,1.0,3,530300000,ST,
294,04002094,706900,,0,,,,F,,206,206.0,Z001,Z7,,,100,,2000,,5300114841.0,0.0,1.0,14,90300000,ST,
313,95050019,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415388.0,3.0,1.0,7,10202000,ST,
315,00170252,705427,,0,,,,F,,203,203.0,Z010,Y5,1540.0,4752.0,100,E13,2000,,5300093469.0,0.0,1.0,84,50100000,ST,
322,494330,709451,,0,,,,F,,233,233.0,Z011,Y2,2180.0,26588.0,100,E13,2100,,5300159090.0,0.0,1.0,14,60100000,ST,
324,00240245,704239,5500005435.0,10,60.0,60.0,183.0,F,,708,708.0,Z011,Y5,1260.0,464926.0,1,E13,2100,,5300143131.0,0.0,1.0,360,90200000,ST,
342,30970027,702779,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2100,,5300102474.0,0.0,1.0,14,80600000,ST,
353,04005135,701112,,0,,,,F,,272,272.0,Z012,Z2,90.0,14373.0,1000,,3000,,5300119991.0,0.0,1.0,28,110100000,ST,
357,00386188,708008,,0,,,,F,,703,703.0,Z008,Y2,,,100,E11,2100,,5300183799.0,0.0,1.0,14,120000000,ST,
365,36020027,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1,E11,2000,,5300116845.0,0.0,1.0,5,10502000,ST,
372,25450112,700151,,0,,,,F,,277,277.0,Z012,Y4,,,100,E13,3000,,5300122074.0,0.0,1.0,28,60100000,ST,
402,00310668,700095,,0,,,,F,,203,203.0,Z001,Y5,2410.0,247231.0,1,E11,3000,,5300003305.0,0.0,10.0,70,30202000,ST,
411,60096972,702590,,0,,,,F,,203,203.0,Z008,Y6,230.0,27651.0,100,E11,2100,,5300503340.0,0.0,1.0,14,520100000,ST,
414,23104103,2000,,0,,,,F,40.0,221,221.0,Z001,Z6,3340.0,70208.0,100,,2100,3000.0,5300230862.0,0.0,1.0,3,10102000,ST,
416,60022652,706716,,0,,,,F,,203,203.0,Z001,Y5,1470.0,1038435.0,1,E14,2000,,5300375614.0,0.0,1.0,70,70900000,ST,
421,34439103,2100,,0,,,,F,41.0,202,202.0,Z001,Z5,,,100,,2000,3000.0,5300199448.0,0.0,2.0,3,10102000,ST,
428,00390352,700028,,0,,,,F,,206,206.0,Z001,Z1,,,100,,2100,,5300011271.0,0.0,1.0,14,530600000,ST,
430,80741305,2000,,0,,,,F,40.0,203,203.0,Z012,Z1,,,100,,3000,3000.0,5300296831.0,0.0,1.0,14,520100000,ST,
445,80721117,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2000,,5300167383.0,0.0,1.0,14,520100000,ST,
453,30021012,1900,,0,,,,F,,206,206.0,Z001,Y4,,,100,E11,2000,,5300126022.0,0.0,1.0,5,10502000,ST,
454,00131019,700049,,0,,,,F,,203,203.0,Z011,Y5,250.0,353861.0,1,E11,3000,,5300091257.0,0.0,1.0,84,70200000,ST,
460,00420874,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300025606.0,0.0,1.0,14,10103000,ST,
464,60018973,2100,,0,,,,F,41.0,203,203.0,Z012,Z1,40.0,88475.0,1,,3000,2000.0,5300418259.0,0.0,1.0,56,70200000,ST,
472,34856800,701005,,0,,,,F,40.0,211,211.0,Z010,Z1,,,1,,2100,,5300154118.0,0.0,1.0,3,10501000,ST,
474,04005357,706822,,0,,,,F,40.0,206,206.0,Z001,Z1,,,100,,2100,,5300110518.0,0.0,1.0,3,530000000,L,
483,04007867,708362,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300172807.0,0.0,1.0,70,70200000,ST,
489,00400982,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217144.0,0.0,1.0,35,10301000,MM,
499,60024921,701806,5500002551.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,2450.0,65231.0,100,E98,2000,,5300375931.0,0.0,2.0,4,140200000,ST,
