Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Gesamtbestand,Gesamtwert,Preiseinheit,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,anomaly
402,00310668,700095,,0,,,,F,,203,203.0,Z001,Y5,2410.0,247231.0,1,E11,3000,,5300003305.0,0.0,10.0,70,30202000,ST,0,0,0,2410,247231,1,10,70,1
411,60096972,702590,,0,,,,F,,203,203.0,Z008,Y6,230.0,27651.0,100,E11,2100,,5300503340.0,0.0,1.0,14,520100000,ST,0,0,0,230,27651,100,1,14,1
414,23104103,2000,,0,,,,F,40.0,221,221.0,Z001,Z6,3340.0,70208.0,100,,2100,3000.0,5300230862.0,0.0,1.0,3,10102000,ST,0,0,0,3340,70208,100,1,3,1
416,60022652,706716,,0,,,,F,,203,203.0,Z001,Y5,1470.0,1038435.0,1,E14,2000,,5300375614.0,0.0,1.0,70,70900000,ST,0,0,0,1470,1038435,1,1,70,1
454,00131019,700049,,0,,,,F,,203,203.0,Z011,Y5,250.0,353861.0,1,E11,3000,,5300091257.0,0.0,1.0,84,70200000,ST,0,0,0,250,353861,1,1,84,1
464,60018973,2100,,0,,,,F,41.0,203,203.0,Z012,Z1,40.0,88475.0,1,,3000,2000.0,5300418259.0,0.0,1.0,56,70200000,ST,0,0,0,40,88475,1,1,56,1
499,60024921,701806,5500002551.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,2450.0,65231.0,100,E98,2000,,5300375931.0,0.0,2.0,4,140200000,ST,4,4,60,2450,65231,100,2,4,1
507,00380048,708008,,0,,,,F,,703,703.0,Z008,Y2,790.0,18604.0,100,E11,2100,,5300138867.0,0.0,1.0,14,120000000,ST,0,0,0,790,18604,100,1,14,1
514,00346471,2000,,0,,,,F,40.0,215,215.0,Z001,Y5,3190.0,22968141.0,1,E13,2100,3000.0,5300145913.0,0.0,1.0,2,80300000,ST,0,0,0,3190,22968141,1,1,2,1
562,C1027505,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300048234.0,0.0,20.0,56,30202000,ST,0,0,0,0,0,1,20,56,1
