Unnamed: 0,Material number_x,Supplier_x,Contract_x,Contract Position_x,Fulfillment time_x,Fixed contract 1_x,Fixed contract 2_x,Procurement type_x,Special procurement type_x,Dispatcher_x,Buyer_x,Purchasing group_x,Purchasing lot size_x,Total quantity_x,Total value_x,Price unit_x,Calendar_x,Plant_x,Plant information record_x,Information record number_x,Information record type_x,Plant processing time_x,Material master time_x,Product group_x,Base unit_x,Material number_y,Supplier_y,Contract_y,Contract Position_y,Fulfillment time_y,Fixed contract 1_y,Fixed contract 2_y,Procurement type_y,Special procurement type_y,Dispatcher_y,Buyer_y,Purchasing group_y,Purchasing lot size_y,Total quantity_y,Total value_y,Price unit_y,Calendar_y,Plant_y,Plant information record_y,Information record number_y,Information record type_y,Plant processing time_y,Material master time_y,Product group_y,Base unit_y,if_anomaly
324,00240245,704239,5500005435.0,10,60.0,60.0,183.0,F,,708,708.0,Z011,Y5,1260.0,464926.0,1,E13,2100,,5300143131.0,0.0,1.0,360,90200000,ST,00240245,704239,5500005435.0,10,60.0,60.0,183.0,F,,708,708.0,Z011,Y5,1260.0,464926.0,1,E13,2100,,5300143131.0,0.0,1.0,360,90200000,ST,0
414,23104103,2000,,0,,,,F,40.0,221,221.0,Z001,Z6,3340.0,70208.0,100,,2100,3000.0,5300230862.0,0.0,1.0,3,10102000,ST,23104103,2000,,0,,,,F,40.0,221,221.0,Z001,Z6,3340.0,70208.0,100,,2100,3000.0,5300230862.0,0.0,1.0,3,10102000,ST,0
499,60024921,701806,5500002551.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,2450.0,65231.0,100,E98,2000,,5300375931.0,0.0,2.0,4,140200000,ST,60024921,701806,5500002551.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,2450.0,65231.0,100,E98,2000,,5300375931.0,0.0,2.0,4,140200000,ST,0
514,00346471,2000,,0,,,,F,40.0,215,215.0,Z001,Y5,3190.0,22968141.0,1,E13,2100,3000.0,5300145913.0,0.0,1.0,2,80300000,ST,00346471,2000,,0,,,,F,40.0,215,215.0,Z001,Y5,3190.0,22968141.0,1,E13,2100,3000.0,5300145913.0,0.0,1.0,2,80300000,ST,0
521,33658500,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415275.0,3.0,1.0,7,10401000,ST,33658500,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415275.0,3.0,1.0,7,10401000,ST,0
543,33613301,700151,,0,,,,F,40.0,233,233.0,Z011,Y4,,,1,E15,2100,,5300049396.0,0.0,1.0,3,10205000,ST,33613301,700151,,0,,,,F,40.0,233,233.0,Z011,Y4,,,1,E15,2100,,5300049396.0,0.0,1.0,3,10205000,ST,0
568,23779203,700151,,0,,,,F,,233,233.0,Z011,Y4,,,100,E13,2000,,5300071369.0,0.0,1.0,42,60200000,ST,23779203,700151,,0,,,,F,,233,233.0,Z011,Y4,,,100,E13,2000,,5300071369.0,0.0,1.0,42,60200000,ST,0
569,96183612,2000,,0,,,,F,40.0,221,221.0,Z001,Z6,,,100,,2100,2100.0,5300316726.0,0.0,2.0,3,10102000,ST,96183612,2000,,0,,,,F,40.0,221,221.0,Z001,Z6,,,100,,2100,2100.0,5300316726.0,0.0,2.0,3,10102000,ST,0
577,80801508,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300155130.0,0.0,1.0,14,520100000,ST,80801508,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300155130.0,0.0,1.0,14,520100000,ST,0
590,00400428,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018272.0,0.0,1.0,14,10301000,MM,00400428,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018272.0,0.0,1.0,14,10301000,MM,0
