,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly,if_anomaly
847,00240065,700223,,0,,,,F,,208,208.0,Z011,Y2,,,1,E13,2100,,5300009286.0,0.0,1.0,49,090100000,ST,0,0
580,34634103,2000,,0,,,,F,40.0,221,221.0,Z001,Z5,30.0,1245.0,100,,2100,2100.0,5300281957.0,0.0,1.0,3,010102000,ST,1,0
120,25020867UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,1,,3000,3000.0,5300257176.0,0.0,1.0,999,10102000,ST,1,0
860,04003365,704798,,0,,,,F,,276,276.0,Z012,Y4,80.0,1077.0,1,E13,3000,,5300140797.0,0.0,1.0,119,080500000,ST,1,0
244,23583700UB,700000,,0,,,,F,,223,223.0,Z001,V3,,,1,E19,2100,,5300175148.0,0.0,1.0,28,10401000,ST,1,0
34,00310995,703080,,0,,,,F,,233,233.0,Z001,Y2,,,1,E13,2100,,5300005037.0,0.0,15.0,49,110200000,ST,0,0
966,00360620,700020,,0,,,,F,,208,208.0,Z011,X4,150.0,924.0,100,E20,2100,,5300020019.0,0.0,1.0,12,140100000,ST,0,0
825,35150710,709641,,0,,,,F,,215,215.0,Z001,Y4,,,100,E13,2100,,5300168433.0,0.0,1.0,49,100100000,ST,0,0
262,80661111,2000,,0,,,,F,40.0,203,203.0,Z012,Y9,,,100,E11,3000,3000.0,5300296238.0,0.0,1.0,14,520100000,ST,1,0
356,60056364,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,100,,3000,3000.0,5300422949.0,0.0,1.0,70,010102000,ST,1,0
955,95130256,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300304979.0,0.0,1.0,42,10502000,ST,1,0
740,24721903,2000,,0,,,,F,40.0,213,213.0,Z012,Y2,,,1,E13,3000,3000.0,5300252198.0,0.0,1.0,999,10102000,ST,1,0
922,00260024,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,530.0,4133.0,100,,3000,3000.0,5300205553.0,0.0,1.0,42,090300000,ST,1,0
