Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit
00180107,704035,,0,0,0,0,F,,215,215.0,Z012,Y4,485987,109201,1000,E13,3000,,5300095035.0,0.0,1,28,100300000,MM
96183410,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300316674.0,0.0,1,999,010102000,ST
00110031,700466,,0,0,0,0,F,,203,203.0,Z001,Y3,0,0,1,E12,2100,,5300001308.0,0.0,1,14,071000000,ST
00170260,700418,,0,0,0,0,F,,203,203.0,Z001,Y2,0,0,100,E13,2100,,5300095651.0,0.0,1,56,050100000,ST
34441110,701314,,0,0,0,0,F,,233,233.0,Z011,Y3,0,0,1,E15,2100,,5300079965.0,0.0,1,42,060100000,ST
24078800,704735,,0,0,0,0,F,,203,203.0,Z011,Y9,0,0,1,E11,2100,,5300082720.0,3.0,1,56,130500000,ST
60100167,2000,,0,0,0,0,F,40.0,219,219.0,Z012,Z1,0,0,1,,3000,3000.0,5300547454.0,0.0,1,999,0,ST
00121807,702236,,0,0,0,0,F,,708,708.0,Z011,Y2,300,1536,100,E11,2100,,5300406697.0,0.0,1,42,070400000,ST
00423331,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300219676.0,0.0,1,999,10102000,ST
60049963,711636,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E11,2000,,5300552261.0,0.0,1,28,010502000,ST
60024598,701806,5500006422.0,10,4,4,60,F,,708,708.0,Z011,V4,13930,17406,100,E98,2100,,5300375542.0,0.0,2,49,140300000,ST
9001462,703564,,0,0,0,0,F,,203,203.0,Z002,Z2,0,0,1,,2000,,5300053499.0,0.0,40,112,110500000,ST
00390878,2000,,0,0,0,0,F,40.0,206,206.0,Z001,Z7,5890,24162,100,,2100,2100.0,5300062681.0,0.0,1,10,530300000,ST
04100538,701112,,0,0,0,0,F,,206,206.0,Z001,Z2,0,0,100,,2100,,5300104146.0,0.0,1,28,110100000,ST
23251002,700585,,0,0,0,0,F,,203,203.0,Z010,Y5,0,0,100,E14,2000,,5300057886.0,0.0,1,28,050400000,ST
24320100UB,704926,,0,0,0,0,F,30.0,223,223.0,Z001,Z6,0,0,1,,2000,,5300114108.0,0.0,1,42,10403000,ST
04006064,707165,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1,,2100,,5300126512.0,0.0,1,42,130600000,ST
60040006,2100,,0,0,0,0,F,41.0,232,232.0,Z001,Z5,1330,4389,100,,2000,2000.0,5300417558.0,0.0,1,2,060100000,ST
00360751,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,100,E11,2100,,5300185262.0,0.0,1,21,140100000,ST
95185418,2000,,0,0,0,0,F,40.0,989,989.0,Z012,Z1,0,0,1,,3000,3000.0,5300312749.0,0.0,1,999,10502000,ST
00360088,701806,,0,0,0,0,F,,208,208.0,Z011,V4,120,1192,100,E98,3000,,5300174073.0,0.0,2,13,140100000,ST
23930801,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z6,0,0,1,,3000,3000.0,5300240243.0,0.0,1,25,10305000,ST
23287014,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2100,,5300024696.0,0.0,1,28,010102000,ST
00311081,702855,,0,0,0,0,F,,203,203.0,Z010,Y5,19870,10054887,1,E13,2000,,5300160487.0,0.0,1,210,030203000,ST
00111294,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,80,16,100,,3000,3000.0,5300201754.0,0.0,1,28,010502000,ST
24627800UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300077799.0,0.0,1,42,10402000,ST
00300313,703338,,0,0,0,0,F,,219,219.0,Z001,Z1,0,0,1,,2000,,5300016824.0,0.0,15,14,130700000,ST
