Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score
04003887,708105,,0,0,0,0,F,,279,279.0,Z001,Z7,10,64975,1,,3000,,5300135137.0,0.0,1,28,070100000,ST,0.43
34690105,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,1,,3000,3000.0,5300283210.0,0.0,1,999,010103000,ST,0.0
30020836,701098,,0,0,0,0,F,,279,279.0,Z001,Y4,40,1422,100,E15,3000,,5300109427.0,0.0,1,35,010502000,ST,0.5746666666666667
34661008,2100,,0,0,0,0,F,41.0,221,221.0,Z001,Z6,0,0,1,,2000,2000.0,5300199648.0,0.0,1,3,010102000,ST,0.21328054279380915
60055068,710178,,0,0,0,0,F,,203,203.0,Z001,Y9,90,26154,1,E11,3000,,5300542904.0,0.0,1,28,070200000,ST,0.64
34885800UB,702399,,0,0,0,0,F,30.0,228,228.0,Z001,Y4,0,0,1,E14,2000,,5300137499.0,3.0,1,42,10403000,ST,0.4431415382862749
34367800UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z1,0,0,1,,3000,3000.0,5300278991.0,0.0,1,999,10402000,ST,0.0
28141209,715646,,0,0,0,0,F,,728,728.0,Z001,Z7,610,25454,100,,2100,,5300503123.0,0.0,1,28,010102000,ST,0.16
25487500UB,1000,,0,0,0,0,F,,991,991.0,Z012,TB,0,0,1,,3000,,5300123208.0,0.0,1,3,10401000,ST,0.21328054279380915
00180045,2000,,0,0,0,0,F,40.0,707,707.0,Z012,Z2,0,0,1000,,3000,3000.0,5300203858.0,0.0,1,21,100300000,MM,0.1693333333333333
00440229,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,1,,3000,3000.0,5300220145.0,0.0,1,28,140400000,ST,0.88
35195017,2000,,0,0,0,0,F,40.0,252,252.0,Z012,EX,0,0,1,,3000,3000.0,5300288796.0,0.0,1,999,550100000,ST,0.0
23107603,700722,,0,0,0,0,F,,228,228.0,Z012,Y4,0,0,1,E12,3000,,5300356788.0,0.0,1,28,010301000,ST,0.88
24630601UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,100,E20,2000,,5300082463.0,0.0,1,56,10102000,ST,0.924
60090110,700151,,0,0,0,0,F,,219,219.0,Z001,Z1,10,149,100,,2000,,5300509382.0,0.0,1,999,060100000,ST,0.45
23824006UB,2000,,0,0,0,0,F,40.0,202,202.0,Z012,Z5,0,0,1,,3000,3000.0,5300238427.0,0.0,1,42,10103000,ST,0.4431415382862749
23515201,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300234723.0,0.0,1,999,010102000,ST,0.51
00110892,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300201559.0,0.0,1,21,70800000,ST,0.05
00280229,700368,,0,0,0,0,F,,203,203.0,Z010,Y9,0,0,1,E11,2000,,5300013868.0,0.0,1,21,130700000,ST,0.05
00190249,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Y3,0,0,1,E13,3000,3000.0,5300111357.0,0.0,1,112,140700000,ST,0.36
23758804,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300237332.0,0.0,1,999,10301000,ST,0.0
00110117,701004,,0,0,0,0,F,,203,203.0,Z002,Z2,0,0,1,,2000,,5300094127.0,0.0,1,63,070600000,ST,0.5940385341782402
00131134,2000,,0,0,0,0,F,40.0,203,203.0,Z001,Y9,250,403475,1,E12,2700,3000.0,5300180495.0,0.0,1,14,070200000,ST,0.6171428571428571
00330275,702782,,0,0,0,0,F,,707,707.0,Z001,Z2,0,0,1,,2100,,5300008041.0,0.0,1,56,100202000,ST,0.17546428571428568
60061750,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300432472.0,0.0,1,70,010402000,ST,0.985
24469707UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300247489.0,0.0,1,999,010102000,ST,0.0
60077672,1000,,0,0,0,0,F,,991,991.0,Z012,Z1,0,0,1,,3000,,5300458315.0,0.0,1,3,10401000,ST,0.21328054279380915
24019307,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300241262.0,0.0,1,999,010102000,ST,0.51
80720214,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,90,1266,100,E11,2000,,5300155111.0,0.0,1,14,520100000,ST,0.4634642857142858
30020299,1900,,0,0,0,0,F,40.0,206,206.0,Z001,Z1,0,0,1,,2100,,5300161615.0,0.0,1,3,010502000,ST,0.21328054279380915
95193820,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300313815.0,0.0,1,42,0,ST,0.4431415382862749
00280010,700449,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300012833.0,0.0,1,84,070100000,ST,0.0
23961100,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300240384.0,0.0,1,42,10402000,ST,0.4431415382862749
00350074,700585,,0,0,0,0,F,,203,203.0,Z010,Y5,0,0,1,E14,2000,,5300015017.0,0.0,1,14,140100000,ST,0.015739130434782606
60103138,708008,,0,0,0,0,F,,996,203.0,Z008,Y2,0,0,100,E11,2100,,5300506910.0,0.0,1,999,520200000,ST,0.51
23592606UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2000,,5300037053.0,0.0,1,28,10102000,ST,0.88
33327102,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Z5,0,0,1,,3000,3000.0,5300273912.0,0.0,1,21,80300000,ST,0.05
23045300,700230,,0,0,0,0,F,,215,215.0,Z001,Y4,4280,418481,1,E14,3000,,5300109559.0,3.0,1,56,100202000,ST,0.3
23249404,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Y4,130,1098,1,E12,3000,3000.0,5300231707.0,0.0,1,55,010502000,ST,0.5761666666666667
82022530UB,701805,,0,0,0,0,F,,211,211.0,Z010,Y2,0,0,1,E11,2100,,5300108800.0,0.0,1,42,10401000,ST,0.4431415382862749
60013750,1900,,0,0,0,0,F,,279,279.0,Z001,Z1,0,0,100,,3000,,5300443618.0,0.0,1,35,010102000,ST,0.961
34585800UB,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,1,,3000,3000.0,5300281793.0,0.0,1,68,10405000,ST,0.985
00270563,2000,,0,0,0,0,F,40.0,206,206.0,Z012,Z1,0,0,1,,3000,3000.0,5300206250.0,0.0,1,14,100400000,ST,0.015739130434782606
28291705,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300265269.0,0.0,1,999,010102000,ST,0.51
60046728,715646,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E11,3000,,5300503195.0,0.0,1,28,010100000,ST,0.36633333333333334
95080237,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2100,,5300055913.0,0.0,1,42,010401000,ST,0.4431415382862749
00423351,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,100,,3000,3000.0,5300219696.0,0.0,1,999,010102000,ST,0.51
00360309,701806,,0,0,0,0,F,,208,208.0,Z011,V4,0,0,100,E98,3000,,5300387877.0,0.0,2,14,140100000,ST,0.5351150793650793
60060491,1900,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2100,,5300455486.0,0.0,1,30,080400000,ST,0.8859999999999999
34763406,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,100,,3000,,5300066606.0,0.0,1,3,010304000,ST,0.38376298701298717
30030848,701098,,0,0,0,0,F,,279,279.0,Z001,Y4,40,360,1,E15,3000,,5300100954.0,0.0,1,35,010102000,ST,0.6924038461538461
04004817,1900,,0,0,0,0,F,,206,206.0,Z001,Y4,0,0,100,E11,2000,,5300095311.0,0.0,1,5,LEEB,ST,0.4039296536796537
30021100,1900,,0,0,0,0,F,40.0,206,206.0,Z001,Z1,0,0,100,,2100,,5300148019.0,0.0,1,3,140100000,ST,0.38376298701298717
95192422UB,2000,,0,0,0,0,F,40.0,212,212.0,Z012,Z1,0,0,100,,3000,3000.0,5300313177.0,0.0,1,999,10102000,ST,0.51
00360728,706261,,0,0,0,0,F,,272,272.0,Z012,Y4,1150,9399,100,E13,3000,,5300185324.0,0.0,1,7,140100000,ST,0.13
31100800,715408,,0,0,0,0,F,,223,223.0,Z004,TB,0,0,1,,2100,,5300435514.0,0.0,1,56,010403000,ST,0.17546428571428568
60091377,715646,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E13,2100,,5300523263.0,0.0,1,28,10102000,ST,0.36633333333333334
60028501,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2000,,5300391412.0,0.0,1,42,10403000,ST,0.4431415382862749
00100885,708551,,0,0,0,0,F,,208,208.0,Z010,Y6,0,0,100,E14,3000,,5300169239.0,0.0,1,56,070300000,ST,0.924
23885200UB,700000,,0,0,0,0,F,,723,723.0,Z001,V3,0,0,1,E19,2100,,5300024456.0,0.0,1,49,10401000,ST,0.5598634421134422
80651209,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,0,0,100,E11,2000,,5300185588.0,0.0,1,14,520100000,ST,0.6729007936507937
33651300,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,0,0,1,E15,2100,,5300050945.0,0.0,1,42,010401000,ST,0.4431415382862749
95194490,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300314351.0,0.0,1,42,00,ST,0.4431415382862749
80800107,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,100,,3000,3000.0,5300296987.0,0.0,1,14,520100000,ST,0.6729007936507937
23658800,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300236020.0,0.0,1,42,10403000,ST,0.4431415382862749
00340288,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Y2,0,0,1,E13,3000,3000.0,5300209684.0,0.0,1,84,80600000,ST,0.0
00371219,701806,5500006902.0,10,4,4,60,F,,708,708.0,Z011,V4,4380,4508,100,E98,2000,,5300391395.0,0.0,2,14,140100000,ST,0.03
00400054,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z1,0,0,1000,,3000,3000.0,5300216416.0,0.0,1,28,010201000,MM,0.17
33347025,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300274143.0,0.0,1,28,140300000,ST,0.88
24944400UB,704926,,0,0,0,0,F,,212,212.0,Z001,Z1,0,0,1,,2000,,5300194903.0,0.0,1,49,0,ST,0.5598634421134422
60080093,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300462527.0,0.0,1,10,010401000,ST,0.0269156010230179
60010217,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,0,0,100,E11,2000,,5300377828.0,0.0,1,14,520100000,ST,0.6729007936507937
60091166,708008,,0,0,0,0,F,,996,203.0,Z008,Y2,0,0,100,E11,2100,,5300477174.0,0.0,1,999,520200000,ST,0.51
00392522,708148,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2000,,5300174999.0,0.0,1,180,520300000,ST,0.86
00340214,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,1,E11,2000,,5300156298.0,0.0,1,14,080600000,ST,0.015739130434782606
96100520UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2100,,5300062832.0,0.0,1,28,10102000,ST,0.36633333333333334
60065499,701256,,0,0,0,0,F,,215,215.0,Z001,Y2,340,13761,100,E13,2000,,5300432147.0,0.0,1,49,100202000,ST,0.19
28160102,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2000,,5300036512.0,0.0,1,28,010103000,ST,0.88
00370668,701806,,0,0,0,0,F,,208,208.0,Z011,V4,170,39,100,E98,2100,,5300392277.0,0.0,2,14,140100000,ST,0.2854642857142857
37066107UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z5,0,0,100,,3000,3000.0,5300293091.0,0.0,1,42,10102000,ST,0.8318333333333335
33330307,702533,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2100,,5300045246.0,0.0,1,14,010103000,ST,0.015739130434782606
00130710,700049,,0,0,0,0,F,,203,203.0,Z011,Y5,70,5978,1,E11,3000,,5300058153.0,0.0,1,21,070200000,ST,0.41
00346570,708038,,0,0,0,0,F,,215,215.0,Z001,Y6,1190,77608,100,E11,2100,,5300127880.0,0.0,1,84,080100000,ST,0.46
00280431,708105,,0,0,0,0,F,,279,279.0,Z001,Y5,280,608633,1,E11,3000,,5300134833.0,0.0,1,28,090300000,ST,0.53
60084536,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,120,4382,100,,3000,2100.0,5300464726.0,0.0,1,10,030205000,ST,0.23375
00311081,702855,,0,0,0,0,F,,203,203.0,Z010,Y5,19870,10054887,1,E13,2000,,5300160487.0,0.0,1,210,030203000,ST,0.76
24320208,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300244568.0,0.0,1,999,10103000,ST,0.51
00371182,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,100,E11,2100,,5300158998.0,0.0,1,14,140300000,ST,0.6729007936507937
00130194,2100,,0,0,0,0,F,41.0,203,203.0,Z012,Y2,340,540745,1,E11,3000,3000.0,5300196883.0,0.0,1,84,070200000,ST,0.55
23333901,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,100,23388,1,,3000,3000.0,5300233270.0,0.0,1,42,060200000,ST,0.4625
04002664,708105,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300135012.0,0.0,1,28,130000000,ST,0.36633333333333334
95100957,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,100,,3000,,5300072438.0,0.0,1,3,010301000,ST,0.38376298701298717
60039861,715646,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E11,3000,,5300503219.0,0.0,1,28,10102000,ST,0.36633333333333334
492816,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,1,,3000,3000.0,5300293945.0,0.0,1,28,80600000,ST,0.88
00341392,702686,,0,0,0,0,F,,215,215.0,Z003,Y4,0,0,1,E13,2000,,5300091836.0,0.0,1,84,080100000,ST,0.0
21278500,2000,,0,0,0,0,F,40.0,252,252.0,Z012,EX,0,0,1,,3000,3000.0,5300227264.0,0.0,1,999,550100000,ST,0.0
00111356,701218,,0,0,0,0,F,,203,203.0,Z010,Y5,2090,9879565,1,E15,2000,,5300174470.0,0.0,1,70,070100000,ST,0.7266666666666667
95173524,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,1,,3000,3000.0,5300310155.0,0.0,1,42,70000000,ST,0.4431415382862749
60097950,708008,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300520121.0,0.0,1,30,520200000,ST,0.36633333333333334
00110562,700537,,0,0,0,0,F,,203,203.0,Z010,Y5,0,0,1,E13,2100,,5300003743.0,0.0,1,14,070600000,ST,0.015739130434782606
60034221,719295,,0,0,0,0,F,,213,213.0,Z008,Y2,0,0,1,E14,2100,,5300548933.0,0.0,1,49,10402000,ST,0.5598634421134422
80801311,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,100,,3000,3000.0,5300297101.0,0.0,1,999,520100000,ST,0.51
95100641,2000,,0,0,0,0,F,40.0,211,211.0,Z012,Y2,1240,143468,100,E14,3000,3000.0,5300181020.0,0.0,1,42,010502000,ST,0.22
00360736,706261,,0,0,0,0,F,,272,272.0,Z012,Y2,1130,678,100,E13,3000,,5300121476.0,0.0,1,7,140100000,ST,0.31321428571428567
60012520,700000,,0,0,0,0,F,,723,723.0,Z001,V3,0,0,1,E19,2100,,5300377731.0,0.0,1,28,10100000,ST,0.88
00347853,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Y2,0,0,1,E11,3000,3000.0,5300211804.0,0.0,1,84,80100000,ST,0.0
00180080,700222,,0,0,0,0,F,,208,208.0,Z011,Y3,312000,777,1000,E11,2000,,5300059126.0,0.0,1,14,100300000,MM,0.16
60015340,704276,,0,0,0,0,F,,228,228.0,Z012,Y2,0,0,1,E11,3000,,5300366995.0,0.0,1,49,10401000,ST,0.5598634421134422
60039012,708038,,0,0,0,0,F,,215,215.0,Z001,Y6,540,17161,1,E11,2100,,5300391604.0,0.0,1,84,080100000,ST,0.5
31047600UB,702399,,0,0,0,0,F,,228,228.0,Z001,Y4,0,0,1,E14,2000,,5300035686.0,0.0,1,42,10401000,ST,0.4431415382862749
60045867,1000,,0,0,0,0,F,,991,991.0,Z001,Z1,0,0,1,,3000,,5300411016.0,0.0,1,3,10403000,ST,0.21328054279380915
60030804,700585,5500006337.0,10,14,14,182,F,,203,203.0,Z010,Y5,20,5654,1,E14,2000,,5300383969.0,0.0,1,35,40100000,ST,0.5841666666666666
