Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,if_anomaly
00400397,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018046.0,0.0,1.0,42,010301000,MM,0
00400325,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017566.0,0.0,1.0,14,010303000,MM,0
00180048,701256,,0,,,,F,,215,215.0,Z002,Y3,,,1000,E13,2000,,5300017606.0,0.0,1.0,42,100300000,MM,0
00400935,702533,,0,,,,F,,206,206.0,Z001,Z7,125000.0,136745.0,1000,,2000,,5300019750.0,0.0,1.0,14,010202000,MM,0
00400760,700020,,0,,,,F,,708,708.0,Z011,X4,,,1000,E20,2100,,5300018550.0,0.0,1.0,12,140500000,MM,0
00400510,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216760.0,0.0,1.0,28,010202000,MM,0
00400669,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216892.0,0.0,1.0,35,010302000,MM,0
00400387,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216667.0,0.0,1.0,35,010304000,MM,0
60083665,704926,5500008790.0,10,42.0,42.0,42.0,F,30.0,219,219.0,Z010,Z3,,,1,,2000,,5300519463.0,3.0,1.0,84,10402000,ST,0
00400977,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300019945.0,0.0,1.0,14,010301000,MM,0
00400067,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016147.0,0.0,1.0,14,010201000,MM,0
00340609,714785,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300425721.0,0.0,15.0,21,080400000,ST,0
00170043,701806,5500003316.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,22560.0,4665.0,1000,E98,3000,,5300174182.0,0.0,2.0,4,140300000,ST,0
00400053,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300016012.0,0.0,1.0,14,010201000,MM,0
00400090,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016370.0,0.0,1.0,14,010201000,MM,0
04005883,701230,,0,,,,F,,707,707.0,Z001,Z2,,,1000,,2100,,5300119977.0,0.0,1.0,14,120000000,MM,0
34490400UB,709741,5500000891.0,20,42.0,42.0,42.0,F,30.0,713,713.0,Z008,V9,70.0,1188474.0,1,E18,2100,,5300183961.0,3.0,1.0,42,10403000,ST,0
00400726,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216936.0,0.0,1.0,28,010205000,MM,0
60105693,704926,,0,,,,F,30.0,232,232.0,Z001,Z1,,,1,,2100,,5300520858.0,3.0,1.0,100,10403000,ST,0
04003660,701348,,0,,,,F,,279,279.0,Z001,Y4,,,1000,E15,3000,,5300453857.0,0.0,1.0,84,LEEB,ST,0
00400487,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300063531.0,0.0,1.0,28,010301000,MM,0
00400975,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300155590.0,0.0,1.0,28,010301000,MM,0
00400710,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300185516.0,0.0,1.0,28,010301000,MM,0
35184200UB,704926,4600012419.0,20,42.0,,,F,30.0,223,223.0,Z001,Z1,,,1,,2100,,5300108981.0,3.0,1.0,42,10402000,ST,0
00230152,700020,5500001501.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,X4,93870.0,18352.0,100,E20,2000,,5300085564.0,0.0,1.0,4,140300000,ST,0
00350105,700020,5500001546.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,X4,91710.0,7631.0,100,E20,2000,,5300015246.0,0.0,1.0,4,140200000,ST,0
60031772,704926,,0,,,,F,30.0,223,223.0,Z001,Z3,,,1,,2000,,5300404743.0,3.0,1.0,56,10403000,ST,0
00400945,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217116.0,0.0,1.0,28,010301000,MM,0
00400382,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300017968.0,0.0,1.0,14,010303000,MM,0
60054443,2100,,0,,,,F,41.0,215,215.0,Z001,Z3,23050.0,8059074.0,1,,2000,2000.0,5300497768.0,0.0,1.0,2,080400000,ST,0
21278600UB,2000,,0,,,,F,40.0,223,223.0,Z001,Z6,,,1,,2100,2100.0,5300227266.0,0.0,2.0,3,010401000,ST,0
