Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Fulfillment time_z_score,Fulfillment time_outlier,Fixed contract 1_z_score,Fixed contract 1_outlier,Fixed contract 2_z_score,Fixed contract 2_outlier,Total quantity_z_score,Total quantity_outlier,Total value_z_score,Total value_outlier,Price unit_z_score,Price unit_outlier,Plant processing time_z_score,Plant processing time_outlier,Material master time_z_score,Material master time_outlier,anomaly_label,xgb_anomaly
00347100,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300159254.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347405,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211542.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347425,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211553.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347442,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211561.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347499,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300181084.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347524,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211592.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347583,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211636.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347602,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211646.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347619,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211658.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347620,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211659.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347700,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211701.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347736,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211730.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347737,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300183492.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347778,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211755.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347789,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211757.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347838,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211792.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347942,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211850.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347978,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,3000.0,5300211870.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00371561,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,100,,2100,3000.0,5300213460.0,0.0,1,3,140100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
36021002,2000,,0,,,,F,40.0,231,231.0,Z008,Y4,,,100,E14,2100,3000.0,5300289716.0,0.0,1,28,100202000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.23061407533815154,0,0,0
21326202,2000,,0,,,,F,40.0,231,231.0,Z008,Y4,,,1,E14,2100,3000.0,5300228168.0,0.0,1,3,100201000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00311141,2000,,0,,,,F,40.0,203,203.0,Z001,Y2,,,1,E14,2100,3000.0,5300090642.0,0.0,1,3,30100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60047067,2000,,0,,,,F,40.0,231,231.0,Z001,Z7,,,100,,2100,3000.0,5300410773.0,0.0,1,2,100202000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
00240288,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,1,,2100,3000.0,5300205418.0,0.0,1,3,90100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60028576,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,100,,3000,3000.0,5300427027.0,0.0,1,28,71000000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.23061407533815154,0,0,0
95161066,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,1,,3000,3000.0,5300308296.0,0.0,1,84,110600000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.36375209821378535,0,0,0
95195526,2000,,0,,,,F,40.0,215,215.0,Z001,Z2,,,100,,3000,3000.0,5300314526.0,0.0,1,35,100202000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.1563183036441594,0,0,0
95195527,2000,,0,,,,F,40.0,215,215.0,Z001,Z2,,,100,,3000,3000.0,5300314527.0,0.0,1,35,100202000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.1563183036441594,0,0,0
95195528,2000,,0,,,,F,40.0,215,215.0,Z001,Z2,,,100,,3000,3000.0,5300314528.0,0.0,1,35,100202000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.1563183036441594,0,0,0
